DESCRIPTION,REST,DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY
,,,,,,,,,,,
,Set stainless Steel items Stainless Steel Security Plate fixation ball joint b Stainless Steel Security Plate Anti Roll Bear arrangement RCF Drg c Stainless Steel Disc Plate To Drg No ,Drg No 1356259 ,No,,,,,,,consisting 3 Fiat .05 No 05114 AAA 01031 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SUSPENSION BOGIE FOR AERO DYNAMIC COACHES TO ,DRG NO.DMU/DPC5-0-3-501 ,No,,,,,ALT-W/5 ,,DEMU 1400 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR SELF GENERATION AC COACHES WITH LONGITUDINAL FOR BMBS TO SMALL ,DRG NO.WTAC-0-3-402 ,No,,,,,ALT-1 ,,l 3 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR EMU TRAILER KN AIR SPRING TO ,DRG NO ICF/MRVC/D-0-3-001 ,No,,,,,ALT-a ,,COACHES 180 COACHES 150 ICF 1 ,
,,,,,,,,,,,
,Bogie frame arrangement EMU Trailer KN Air spring ,Drg No ICF/MRVC/D-0-3-001 ,No,,,,,alt-1 ,,Coaches 180 Coaches 150 ICF 1 ,
,,,,,,,,,,,
,Hydraulic pallet Cap Hydraulic lifting 2.5 tons Minimum Maximum height 4 Length 1220 fork 685mm 2 nos Nylon Steering wheels nos Nylon Roller wheels With double ball Steel Structure unit Hand operated Hydraulic pump unit ,,No,,,,,,,Truck 4 wheels 2.5 hight 200 length 1220 Width 685 685mm 1 1.Capacity 2500 2500kgs 2.5 tons 2 height 85 85mm 3 height 200 200 4 fork 1220 1220 5 fork 685 685mm 6 Wheels 2 b 2 b 4 bearings 7 Structure 8 ,
,,,,,,,,,,,
,Flushing pipe suitable push type flusher valve ,Drg.No.M/C W/LTT/14 ,No,,,,,,,,
,,,,,,,,,,,
,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE WSF MAKE EP BRAKE VALVE CONSISTING OF ITEMS AS PER DETAILED PART LIST ,,No,,,,,,,OF 12 ,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR HP COACHES TO ,DRG.NO -DMU/DPC-0-4-001 ,No,,,,,ALT-M/8 ,,DEMU 700 ,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR AC COACHES TO ,DRG.NO -WLRRM-0-4-003 ,No,,,,,ALT-F/4 ,,,
,,,,,,,,,,,
,Bogie frame arrangement HP Coaches ,Drg No DMU/DPC/-0-3-009 ,No,,,,,alt ,,DEMU 700 ICF 1 ,
,,,,,,,,,,,
,Lower Spring Beam Ac Coaches ,Drg .No WLRRM-0-5-006 ,No,,,,,alt- e ,,ICF 1 ,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR COACHES TO ,DRG NO.DMU/DPC-0-4-001 ,No,,,,,ALT-M/8 ,,DEMU 700 ,
,,,,,,,,,,,
,Clevis pin washer Door hinge BOBRN Wagon ,Drg.No WD-92081-,No,,Item No.06 ,,,,,RDSO 56 ,
,,,,,,,,,,,
,Safety hook assembly pin plate Door hinge BOBRN wagon ,Drg.No WD-92081-,No,,Item No.03 ,,,,,RDSO 56 ,
,,,,,,,,,,,
,washer split pin Door hinge BOBRN wagon ,Drg.No WD-91071-,No,,Item No.06 ,,,,,Pin 24 RDSO 66 ,
,,,,,,,,,,,
,Bearing far near BOBRN wagon ,Drg.No WD-92081-,No,,Item No.08 ,,,,,RDSO 57 ,
,,,,,,,,,,,
,Lug door hinge End ridge bush BOBRN wagon ,Drg.No WD-91071-,No,,Item No.03 ,,,,,RDSO 66 ,
,,,,,,,,,,,
,Spring retainer pin BOBRN Wagon ,Drg.No WD-92081-,No,,Item No.02 ,,,,,RDSO 56 ,
,,,,,,,,,,,
,bush Door hinge BOBRN wagon ,Drg.No WD-92081-,No,,Item No.02 ,,,,,RDSO 55 ,
,,,,,,,,,,,
,Safety bracket pin Roller BOBRN wagon ,Drg.No WD-89007-,No,,Item No.12 ,,,,,RDSO 71 ,
,,,,,,,,,,,
,Adjustable lever assembly Adjustable lever assembly BOBRN Wagon Item ,Drg.No.96038-,No,,,,,,,Item .01 Item 02 Item 03 Item 05 Item 06 Item 07 RDSO 04 Item .03 ,
,,,,,,,,,,,
,Steel Shots shall conform hardness value ,,No,,,,,,,S 4606 S 1983 ranging 40 40 50 50 460 HRC-S-460 1.17 ,
,,,,,,,,,,,
,MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment ,,No,,,,,,,OF 6 OF 23 ,
,,,,,,,,,,,
,Roller BOBRN wagon ,Drg.No WD-89007-,No,,Item No.02 ,,,,,RDSO 71 ,
,,,,,,,,,,,
,Turn buckle BOBRN wagon ,Drg.No WD-92081-,No,,Item No.09 ,,,,,RDSO 57 ,
,,,,,,,,,,,
,Operating lever bush Door hinge BOBRN wagon ,Drg.No WD-92081-,No,,Item No.04 ,,,,,RDSO 55 ,
,,,,,,,,,,,
,Piston Stroke gauge fitted Vernier scale Material tool HRC Indicating Vernier Analog type per ISI marked ,,No,,,,,,,reading 60 60 100 100mm 115 115mm 145 Accuracy 1.0 steel 3748 steel 90 IS:3748/90 40 IS:3748/90 45 IS 3651 IS 02 [ 1985 ,
,,,,,,,,,,,
,Dust bin composite modular toilet AC coaches ,,No,,,,SK.NO.K2036 ,Alt-1 ,,RDSO 1 ,
,,,,,,,,,,,
,Lug door hinge cross ridge bush BOBRN wagon ,Drg.No WD-91071-,No,,Item No.04 ,,,,,RDSO 66 ,
,,,,,,,,,,,
,bush Door hinge BOBRN wagon ,Drg.No WD-92081-,No,,Item No.03 ,,,,,RDSO 55 ,
,,,,,,,,,,,
,Twist head Automatic Twist lock BLC Wagons As per Holland Part Sanrok part No 70160 ,Drg.No ST-971207 ,No,,,,,,,No 70160 No 70160 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I approved sources considered ,DRG NO.DMU/DPC-O-3-009 ,No,,,,,,,DEMU 700 DEMU 700 ,
,,,,,,,,,,,
,Supply conductor Berth ICF procured RDSO Approved sources per vendor Note Offers RDSO Approved sources considered ,Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,
,,,,,,,,,,,
,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED Valve check Spring steel Stop valve wsf pt.no ,,No,,,,,,,MAKE 1 MAKE 2 OF 03 herewith 1 wsf.pt.no 8064 IA8064 2 pt.no 72424 pt.no 4 A72424/4 3 pt.no 83289 pt.no 2 ,
,,,,,,,,,,,
,inch Safety valve E1 per ,"Drg No ER/KPA/EL/PN,2",No,,,,,,,HE/708B 3 HE/708B 4 type 1 set 9 9 2 Type 1 KPA 708 ,
,,,,,,,,,,,
,INTER COOLER ASSEMBLY TUBES SUITABLE TO ELGI PART OR TO EQUIVALENT SUITABLE FOR ELGI MAKE AIR COMPRESSOR MODEL ,,No,,,,,,,WITH 16 NO 070200170 TRC 2507 ,
,,,,,,,,,,,
,Steel Shots shall conform hardness value ,,No,,,,,,,S 4606 S 1983 ranging 40 40 50 50 550 HRC-S-550 1.40 ,
,,,,,,,,,,,
,Collar Axle Box Roller Bearing arrangement ,Drg No.EMU/M-0-2-005.,No,,,,,Alt-n ,,ICF 1 ,
,,,,,,,,,,,
,Chlorine RCF ,Drg.No.MI005328 ,No,,,,,Alt.b ,,,
,,,,,,,,,,,
,Wire cable RCF along plate ,Drg.No MI005510 ,No,,,,,,,dia 8 dia 7 dia 7 length 3000 item 5 Item .12 ,
,,,,,,,,,,,
,Manufacturing assembling supply Junction Boxes per enclosed Junction box shall e prepared MS gauge X front side door provided hinges The box shall provided three iron strips enable fix hylam sheet size x thk Hylam sheet shall fixed two female adaptors square area cables withstanding amps current make Well sspring Ador Fontech Panasonic ESAB Bottom centre box welded MS inches long Entire box shall painted red oxide finishing silver paint ,,Yes,,,,,,,Drawing 01 Drawing 2016 sheet 18 size 600 X 200 X 200 size 500 x 80 x 12 suit 120 capacity 800 pipes 4 diameter 1000 ,
,,,,,,,,,,,
,MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment ,,No,,,,,,,OF 6 OF 23 ,
,,,,,,,,,,,
,Maintenance Kit WSF Make EP Brake controller items per attachement ,,No,,,,,,,consisting 20 ,
,,,,,,,,,,,
,Supply conductor Berth ICF procured RDSO Approved sources per vendor Note Offers RDSO Approved sources considered ,Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,
,,,,,,,,,,,
,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment ,,No,,,,,,,MAKE 1 MAKE 2 OF 03 ,
,,,,,,,,,,,
,Set Nitrile Rubber O ring X nos 4 Qty nos 4 2 nos Acceptance O ring subject Lab test LGD Nitrile rubber Each Qty Nos random supplied material ,,No,,,,,,,size 1 1 46 X 3.5 nos 2 2 32 X 4 Qty 400 nos 3 3 22 22X 4 Qty 900 nos 4 4 12 12X 2 mm.Qty 600 Qty 9 ,Qty -400 
,,,,,,,,,,,
,Service KBI Part ,,No,,,,,,,Board 03 No 28328 ,
,,,,,,,,,,,
,Gun Metal valve screwed female ends ISI integral seat inside lift type Gun metal leaded bronze brass ,,No,,,,,,,per 778 marked 25 size 25 type 1 ,
,,,,,,,,,,,
,Integrated Test Bench Air Spring Suspension Control Equipment Leveling valve Duplex check valve As Per enclosed specification ,,No,,,,,,,,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC-0-4-001 ,No,,,,,ALT-m/8 ,,DEMU 700 ,
,,,,,,,,,,,
,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE WSF MAKE EP BRAKE VALVE CONSISTING OF ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF ,,No,,,,,,,OF 12 ,
,,,,,,,,,,,
,Lower Spring Beam arrangement SG AC coaches ,Drg No WLRRM-0-5-006 ,No,,,,,Alt-e ,,,
,,,,,,,,,,,
,Manufacturing assembling supply Junction Boxes per enclosed Drawing attached Junction box shall prepared MS gauge front side door provided hinges The box shall provided three iron strips enable fix hylam sheet size x x thk Hylam sheet shall fixed two female adaptors square area cables withstanding amps current make Well spring Ador Fontech Panasonic ESAB Bottom centre box welded two numbers MS long Entire box shall painted Red oxide finishing silver paint ,,Yes,,,,,,,Drawing 02 Drawing 2016 sheet 18 size 600 x 200 200 200 size 500 x 80 x 12 suit 120 capacity 800 Pipes 4 diameter 1000 ,
,,,,,,,,,,,
,Air Filter CP Part suitable Chicago Pneumatic Screw Air CFM MakeL CP KIRLOSKAR ELGI OEM S Authorised dealers quote valid certificate ,,No,,,,,,,No 2205116401 Compresor 76 Model 25 ,
,,,,,,,,,,,
,Lock Box Emergency openable window arrangement AC Coaches Lock Box Emergency openable window arrangement AC Coaches Alt C Lock Box Emergency openable window arrangement AC Coaches Alt C Item ,Drg No ICF/5-4-276 ,No,,,,,,,No 12 No 13 No 14 No 15 No 16 No 17 ,
,,,,,,,,,,,
,Hammer box Hammer per Drawing RDSO BREAKING WINDOW GLASS IN CASE OF EMERGENCY ,,Yes,,,,SK.K 3001 ,,,No 1 1.RCF-CC 64334 64334 2 ,
,,,,,,,,,,,
,Supply fixing testing intermediate worn wheel flange thickness checking gauges CNC surface wheel lathe The detailed particulars set attached ,,No,,,,,,,"profiles 21 profiles 23 profiles 24 profiles 26 21,23,24,26 28 ",
,,,,,,,,,,,
,Nut lock BOBRN ,Drg.No.WD-92081-,No,,,,,Alt-10 ,,wagon 57 s-57 12 ,
,,,,,,,,,,,
,Head Rest upper berth ,Drg.No SCN 5-6-521 ,No,,,,,Alt n/2 ,,,
,,,,,,,,,,,
,Set bottle spray pump hand wash liquid per set consists nos Drawing copy attached ,Drg.No CDO/HYB/Amenity/001/2015 ,Yes,,item No.1 ,,,,,item .2 qty 01 ,qty 03 
,,,,,,,,,,,
,Lower Spring Beam arrangement SG AC coaches ,Drg No WLRRM-0-5-006 ,No,,,,,Alt-e ,,,
,,,,,,,,,,,
,bush Door hinge BOBRN wagon ,Drg.No WD-92081-,No,,Item No.03 ,,,,,RDSO 55 ,
,,,,,,,,,,,
,Single car testing rig similar Escorts Drawing attached ,,Yes,,,,,,,Drawing 3 3KB 1944 ,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC-0-4-001 ,No,,,,,ALT-m/8 ,,DEMU 700 ,
,,,,,,,,,,,
,Nut lock BOBRN ,Drg.No.WD-92081-,No,,,,,Alt-10 ,,wagon 57 s-57 12 ,
,,,,,,,,,,,
,Supply stainless steel auxiliary roof water tank AC Coaches roof mounted AC package unit ,Drg.No.ICF/SK-6-3-446 ,No,,,,,Alt-c/nil ,,,
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip make wood ,,No,,,,,,,size 6 x 1 x 12 bonded 25 x 4 ,
,,,,,,,,,,,
,Center pivot liner BLC Wagon ,Drg.No CONTR 9404-,No,,Item No.3 ,,,Alt-8 ,,RDSO 5 ,
,,,,,,,,,,,
,Center pivot ring BLC ,Drg.No.CONTR 9404-,No,,Item No.4 ,,,Alt-8 ,,wagon 5 ,
,,,,,,,,,,,
,Supply conductor Berth ICF procured RDSO Approved sources per vendor Note Offers RDSO Approved sources considered ,Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,
,,,,,,,,,,,
,Poly Grass mat type red colour meter meters per roll make Duro soft PVC Synthaeic loop 2 Total Thickness Approx plus 2 ,,No,,,,,,,size 0.61 x 15 Specification 1 material 2 Dia 0.6 0.6 3 base 2 2 4 Thickness 12 minus 2 ,
,,,,,,,,,,,
,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment ,,No,,,,,,,MAKE 1 MAKE 2 OF 03 ,
,,,,,,,,,,,
,Toner cartridge suitable Printer ,,No,,,,,,,canon 3500 ,
,,,,,,,,,,,
,Female elbow C per RDSO inner outer dia composite internal seal fitting similar KITEC make ,,No,,,,SK-K2029 ,,,size 1216 x 1 x 2 NOTE .4 Specification 12 Dia 16 ,
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip make wood ,,No,,,,,,,size 6 x 1 x 12 bonded 25 x 4 ,
,,,,,,,,,,,
,Maintenance Kit WSF Make EP Brake controller items per attachement ,,No,,,,,,,consisting 20 ,
,,,,,,,,,,,
,Printer model copies equipment specifications attached ,,No,,,,,,,Epson 2190 LQ2190 24 pins 3 Directional 1 1 5 ,
,,,,,,,,,,,
,Aluminum flat face head rivet ,,No,,,,,,,size 5 x 25 ,
,,,,,,,,,,,
,Bogie Bolster Arrangement AC Coaches ,Drg.No -WLRRM-0-4-003 ,No,,,,,Alt-f/4 ,,,
,,,,,,,,,,,
,Bare wheel Assembly CW NESCO part suitable coil spring shot peening MAKE NESCO ,,No,,,,,,,No 414667 Machine 1036 RA 108 ,
,,,,,,,,,,,
,MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment ,,No,,,,,,,OF 6 OF 23 ,
,,,,,,,,,,,
,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING ITEMS AS PER DETAILED PART LIST attached ,,No,,,,,,,OF 04 ,
,,,,,,,,,,,
,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment ,,No,,,,,,,MAKE 1 MAKE 2 OF 03 ,
,,,,,,,,,,,
,Piston shaft Automatic Torque converter transmission suit Godrej use Godrej Fork Lift trucks ,,No,,,,,,,Part .02009564 Model 300 ,
,,,,,,,,,,,
,MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment ,,No,,,,,,,OF 6 OF 23 ,
,,,,,,,,,,,
,HKE Variable speed spring key NESCO part suitable coil spring shot peening Machine MAKE NESCO ,,No,,,,,,,pulley 8 dia 28 Bore 8 Bore 4 Bore 225 No 5755 Model 1036 RA 108 ,
,,,,,,,,,,,
,Tare tie rod BLC Wagon material tool steel HRC ,,No,,,,,,,size 900 IS 3748 IS 90 hardness 50 hardness 55 ,
,,,,,,,,,,,
,Tare tie rod gauge loaded condition material tool HRC ,,No,,,,,,,size 920 steel 3748 steel 90 Hardness 50 Hardness 55 ,
,,,,,,,,,,,
,Tare tie rod gauge Empty condition material tool steel HRC supply calibration certificate NABL approved lab ,,No,,,,,,,size 890 IS 3748 IS 90 hardness 50 hardness 55 ,
,,,,,,,,,,,
,SUPPLY STITCHING CURTAIN CLOTH EQUIVALENT TO GM MAKE COLLECTION DECCAN WITH HIGHLET MODEL AS PER SAMPLE AVAILABLE IN THE OFFICE OF INCHES Dimensions attached ,,No,,,,,,,WIDTH 48 ,
,,,,,,,,,,,
,Fabricated GI box size x X Material GI per Drawing attached ,Drg No CDO/HYB/PANTRY/001/2015 ,Yes,,,,,,,L 610 W 610 H 191 thickness 0.6 ,
,,,,,,,,,,,
,LOCK PAD IRON GALVANISED WITH NON INTER CHANGEABLE DUPLICATE LEVERS ON A STEEL RING CONFIRMING TO TYPE II WITH RLY INITIALS SCR IN HINDI AND ENGLISH ,,No,,,,,,,KEYS 4 SIZE 35 BIS 15275 BIS 2003 ,
,,,,,,,,,,,
,LOCK PAD IRON GALVANISED WITH NON INTER CHANGEABLE DUPLICATE LEVERS ON A STEEL RING CONFIRMING TYPE II WITH RLY INITIALS SCR IN HINDI AND ENGLISH ,,No,,,,,,,KEYS 4 SIZE 50 TO 15275 TO 2003 ,
,,,,,,,,,,,
,Tare tie rod BLC Wagon material tool steel HRC Supply calibration certificate NABL approved lab ,,No,,,,,,,size 910 IS 3748 IS 90 hardness 50 hardness 55 ,
,,,,,,,,,,,
,SAB E dimension gauge suitable BOX material tool steel HRC ,,No,,,,,,,N 555 N 600 IS 3748 IS 90 Hardness 50 Hardness 55 ,
,,,,,,,,,,,
,SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED ,,No,,,,,,,,
,,,,,,,,,,,
,Flushing pipe suitable push type flusher valve ,Drg.No.M/C W/LTT/14 ,No,,,,,,,,
,,,,,,,,,,,
,Manufacturing supply hatch water tap modular toilets per ,Drg.No CDO/HYB/MT-01 ,No,,,,,,,,
,,,,,,,,,,,
,Line interactive UPS min AVR single phase input inbuilt SMF batteries ,,No,,,,,,,rated .1 rated .0 VAH 400 AC 160 160V 280 ,
,,,,,,,,,,,
,Centre pivot pin shackle lock lock pin washer BLC wagon per ,Drg No CONTR-9404-,No,,"Item Nos.2,3,4,5 ",,,Alt.1 ,,RDSO 8 ,
,,,,,,,,,,,
,Toner cartridge suitable printer ,,No,,,,,,,CANON 6018 ,
,,,,,,,,,,,
,Spring loaded side bearer complete assembly ,Drg No CONTR-9404-,No,,,,,Alt-12 ,,RDSO 15 Item 1 1 8 ,
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 12 bonded 25 x 4 ,
,,,,,,,,,,,
,Hardwood packing feet feet x 2 inch recessed ends width x strip make ,,No,,,,,,,size 2 x 1 x 2 bonded 25 x 4 ,
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 3 x 1 x 12 bonded 25 x 4 ,
,,,,,,,,,,,
,HDPE conforming latest Amendments per following specifications Material Grade Pressure Outer dia pipe Wall thickness ,,No,,,,,,,IS 4984 PE 100 rating 6 square 6 pipe 75 shall 3.5 3.5mm 4.1 ,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC-0-4-001 ,No,,,,,ALT-m/8 ,,DEMU 700 ,
,,,,,,,,,,,
,VINYLE STICKERS PASTED ON ACRYLIC SHEET Transparent IN COCHES OF MM MM THICKNESS AS PER SPECIFICATION ATTACHED ,,No,,,,,,,SIZE 210 X 310 WITH 3 ,
,,,,,,,,,,,
,Combined set pf tools coaching stock maintenance specification attached ,,No,,,,,,,,
,,,,,,,,,,,
,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE WSF MAKE EP BRAKE VALVE CONSISTING OF ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF ,,No,,,,,,,OF 12 ,
,,,,,,,,,,,
,Maintenance Kit WSF Make EP Brake controller items per attachement ,,No,,,,,,,consisting 20 ,
,,,,,,,,,,,
,Air Portion complete consisting self lapping cylinder Poppet valve Group Wasf Make EP Brake controller Part ,,No,,,,,,,type 74888 type 4 No .74889 No 1 ,
,,,,,,,,,,,
,Line interactive UPS surge protection inbuilt SMF batteries input voltage equivalent model VA KVA Make APC similar years min ,,No,,,,,,,range 150 150 280 APC 1100 Capacity 1.1 warranty 2 ,
,,,,,,,,,,,
,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment ,,No,,,,,,,MAKE 1 MAKE 2 OF 03 ,
,,,,,,,,,,,
,Toner photocopier machine make KYOCERA Model TApart Code ,,No,,,,SK alfa 2201. ,,,TK 4109 ,
,,,,,,,,,,,
,Hard packing feet x 1 inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 1 bonded 25 x 4 ,
,,,,,,,,,,,
,Flex ball Cable Short Faiveley Part suitable Hand Brake LHB power car Make FTIL KBI similar Note Firm submit performance certificate issued Railway competent Authority subject Material ,Drg No.A3 040.0371 ,No,,,,,,,No 0267.06 No .00 No .00 ,
,,,,,,,,,,,
,GASKET FOR INLET HATCH AS PER RDSO DRAWING ,,Yes,,ITEM NO.14 ,,,,,NO 07054 NO 13 ,
,,,,,,,,,,,
,WIDE JAW ADAPTER CASNUB OR LATEST ,DRG.NO.CONTR 9404-,No,,ITEM NO.6 ,,,ALT.7 ,,FOR 20 C 96 BOGIE 2 ,
,,,,,,,,,,,
,SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED ,,No,,,,,,,,
,,,,,,,,,,,
,Manufacturing supply hatch water tap modular toilets per ,Drg.No CDO/HYB/MT-01 ,No,,,,,,,,
,,,,,,,,,,,
,Wearing plate side bearer latest ,Drg.No T-0-5-648 ,No,,,,,,,,
,,,,,,,,,,,
,BRACKET FOR ANCHOR LINK ON BOOGIE FRAME TO ICF Small ,DRG NO T-0-3-635.,No,,,,,,,L 16 ,
,,,,,,,,,,,
,Speed Reduction Gear Box ELECON ,,No,,,,,,,NU-U/R 4 Size:4 50 Size:4 1 ,
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 4 bonded 25 x 4 ,
,,,,,,,,,,,
,Air Portion complete consisting self lapping cylinder Poppet valve Group Wasf Make EP Brake controller Part ,,No,,,,,,,type 74888 type 4 No .74889 No 1 ,
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 4 bonded 25 x 4 ,
,,,,,,,,,,,
,ISI marked dry wet bulb type psychrometer per Grade A ,,No,,,,,,,IS 5725 IS 1970 ,
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip make wood ,,No,,,,,,,size 6 x 1 x 12 bonded 25 x 4 ,
,,,,,,,,,,,
,Hardwood packing feet feet x 2 inch recessed ends width x strip make ,,No,,,,,,,size 2 x 1 x 2 bonded 25 x 4 ,
,,,,,,,,,,,
,Solenoid valve chicago pneumatic air compressor OEM ,,No,,,,,,,part 1903221212 ,
,,,,,,,,,,,
,Fabricated GI box size x X Material GI per Drawing attached ,Drg No CDO/HYB/PANTRY/001/2015 ,Yes,,,,,,,L 610 W 610 H 191 thickness 0.6 ,
,,,,,,,,,,,
,Speed Reduction Gear Box ELECON Model ,,No,,,,,,,NU-UR 3 inches 30 inches 1 ,
,,,,,,,,,,,
,MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment ,,No,,,,,,,OF 6 OF 23 ,
,,,,,,,,,,,
,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING ITEMS AS PER DETAILED PART LIST attached ,,No,,,,,,,OF 04 ,
,,,,,,,,,,,
,SET OF SPARES FOR ASKA MAKE TOWER LIGHTS SPECIFICATION ATTACHED ,,No,,,,,,,,
,,,,,,,,,,,
,SET OF BRASS BODY CHROME PLATED SINGLE LEVER CONCEALED WALL MIXER FOR HOT COLD WATER MIXING SET IS FLANGE AS PER JAGUAR OR MODEL MECHANISM AS PER JAGUAR MODEL NO OR KOHLER NO ,,No,,,,,,,HAVING 02 ITEMS 1 NO 10079 NO.K 16316 16316 4 IN-4FP-CP .2 NO 079 KOHLER 8821 QTY- 01 ,QTY 1 
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 12 bonded 25 x 4 ,
,,,,,,,,,,,
,Nut lock BOBRN ,Drg.No.WD-92081-,No,,,,,Alt-10 ,,wagon 57 s-57 12 ,
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 3 x 1 x 12 bonded 25 x 4 ,
,,,,,,,,,,,
,Hard packing feet x 1 inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 1 bonded 25 x 4 ,
,,,,,,,,,,,
,Set gas cutting torch inch one hose coupling nut inch one set inches two seat cutting nozzle made forged brass ISI Marked ,,No,,,,,,,length 44 nipple 5 nipple 16 set 5 set 64 per 7653 per 1975 ,
,,,,,,,,,,,
,Nibbler machine similar BOSCH make model per specification make BOSCH HITACHI MAKITA offers received OEM authorized dealers considered acceptance ,,No,,,,,,,GNA 3.5 ,
,,,,,,,,,,,
,GASKET FOR INLET HATCH AS PER RDSO DRAWING ,,Yes,,ITEM NO.14 ,,,,,NO 07054 NO 13 ,
,,,,,,,,,,,
,Rake testing rig Similar escorts Drawing attached ,Drg.No 3,Yes,,,,,,,KB 3032 ,
,,,,,,,,,,,
,Single car testing rig similar Escorts Drawing attached ,,Yes,,,,,,,Drawing 3 3KB 1944 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I approved sources concedered ,DRG NO DMU/DPC-0-3-009 ,No,,,,,,,DEMU 700 DEMU 700 ,
,,,,,,,,,,,
,Induction Heater Axle Box As per Enclosed Specification ,,No,,,,,,,,
,,,,,,,,,,,
,Nibbler machine similar BOSCH make per specification Make BOSCH HITACHI MAKITA ,,No,,,,,,,.GNA 2.5 ,
