SPEC_NUMBER,SK_NUMBER,AMENDMENT_NO,DRG._NUMBER,QUANTITY,ITEM_NUMBER,ALT_NUMBER,REV_NUMBER,DRAWING_ATTACHED,OTHER_SPECIFICATION,REST_DATA
,,,DRG NO.- ,,,,,No,,PLASTIC SEAT AND COVER ASSEMBLY COMPLETE TO SUIT PORCELAIN COMMODE TO 
,,,,,,,,No,reservinor 40 ,Air cap 
,,,,,,,,No,,BOLT HEX HEAD TAIL END 
,,,,,,,,No,TY-DI 32 TY-DI 298 ,BLT CHS 
,,,,,,,,No,,BOLT HEX HD FD 
,,,,,,,,No,,BOLT CHEESE HEAD TAIL END 
,,,,,,,,No,HD 2 TY-D2 12 TY-D2 40 ,BLT CHS MM 
,SK HEX HEAD TYPE-B ,,,,,,,No,,BOLT C 
,,,,,,,,No,BOLT 1.1 BOLT 8 ,INCH DIA WITH NUT 
,,,,,,,,No,BOLT 3 BOLT 8 3/8 2.1 3/8 2 ,INCH LONG 
,,,,,,,,No,BOLT 1 1 5.3 1 4 ,INCH LONG 
,,,,,,,,No,BOLT 1 1 5.1 1 2 ,INCH LONG 
,,,,,,,,No,BOLT 3 BOLT 4 ,D FOR ELBOW STM PIPE 
,,,,,,,,No,,BOLT TURNED LONGER BOGIE POVIT 
,,,,,,,,No,BOLT 3 BOLT 8 3/8 3.1 3/8 8 ,INCH LONG 
,,,,,,,,No,BOLT 1 BOLT 4 ,DIA WITH NUT 
,,,,,,,,No,HEAD 32 ,BOLT TURHED HEX 
,,,,,,,,No,HD 1.1 HD 16 ,HEX DIA 
,,,,,,,,No,,BOLT FOR FIRE DOOR 
,,,,,,,,No,HD 1.1 HD 16 ,HEX DIA 
,,,,,,,,No,HD 59 HD 64 ,HEX DIA 
,,,,,,,,No,HD 15 HD 16 ,HEX DIA 
,,,,,,,,No,HD 29 HD 32 ,HEX DIA 
,,,,,,,,No,HD 1.1 HD 32 ,HEX DIA 
,,,,,,,,No,HD 1.3 HD 64 ,HEX DIA 
,,,,,,,,No,HD 1.1 HD 16 ,HEX DIA 
,,,,,,,,No,HD 15 HD 16 ,HEX DIA 
,,,,,,,,No,,BOLT ADJUSTMENT 
,,,,,,,,No,,BOLT WITH NUT 
,,,,,,,,No,,BOLT STRAIGHT WITH NUT 
,,,,,,,,No,M 24 X 120 ,BOLT H H MM 
,,,,,,,,No,,BOLT STRAIGHT WITH NUT 
,,,,,,,,No,,BOLT STRAIGHT WITH NUT 
,,,,,,,,No,,BLT TRND HEXHD FOR BK ROD WP 
,SK 5/8 ,,,,,,,No,,ECCENTRIC BOLT CINCH 
,,,,,,,,No,,BOLT HEX HEAD FOR FRAME 
,,,,,,,,No,,BOLT HEX HD FOR CYLINDER 
,,,,,,,,No,CYL 1.1 CYL 4 ,BOLT HEX HD FOR 
,,,,,,,,No,,BLT WDGE ADJSTG FOR WG LOCO 
,,,,,,,,No,,BLT WDGE ADJSTG FOR ASBLY WPWG 
,,,,,,,,No,,BOLT FACE LINER CW A B WP WG 
,,,,,,,,No,,Axle box ldg trg wheel part 
,,,,,,,,No,,PLATE END FD YP YG 
,,,,,,,,No,,COMTAINER GREESE COMPLETE 
,,,,,,,,No,,CONTAINER GREASE COMPLETE 
,,,,,,,,No,,AXLE BOX BRONZE 
,,,,,,,,No,,
,,,,,,,,No,,SPRING SADDLE SEAT M S 
,,,,,,,,No,,FOLLOWER PLATE SPRING 
,,,,,,,,No,,AXLE BOX FINISHED 
,,,,,,,,No,,PLATE 
,,,,,,,,No,,PLATE MEAR COMP FRT TRUCK AXLE 
,,,,,,,,No,,
,,,,,,,,No,,BOX AXLE WITH ROLLER 
,,,,,,,,No,,KEEP S FD 
,,,,,,,,No,,INTEGRAL FACE LINER 
,,,,,,,,No,,
,,,,,,,,No,,ROLLER BEARING AXLE BOX COMPLETE 
,,,,,,,,No,,BUCKLES MS SPG COUPLED WHEEL 
,,,,,,,,No,,BUCKLES MS SPG PONEY TRUCK 
,,,,,,,,No,,SPRING BOGIE 
,,,,,,,,No,,SPRING LAMINATED WASHER BEARG 
,,,,,,,,No,,SPRING 
,,,,,,,,No,,LINK SPRING FINISHED 
,,,,,,,,No,,COTTER FINISHED SPRING GEAR 
,,,,,,,,No,,COTTER FD SPRING GEAR 
,,,,,,,,No,,COTTER FOR COUPLED SPG LINK 
,,,,,,,,No,,BUCKLE SPRING HIND TRUCK 
,,,,,,,,No,,BUCKLES MS 
,,,,,,,,No,,WASHERS BEARING SPG 
,,,,,,,,No,,WASHERS SPG 
,,,,,,,,No,,WASHER BEARING FD 
,,,,,,,,No,,SEAT SPG END BOTTOM HIND TRUCK 
,,,,,,,,No,,SPG BEARING LAMINATED ENGINE 
,,,,,,,,No,RADICAL 11 ,SPG BEARING LMNTD 
,,,,,,,,No,,
,,,,,,,,No,,HANGER FD L H SPG GEAR 
,,,,,,,,No,,
,,,,,,,,No,,HANGER FD SPRING GEAR 
,,,,,,,,No,,GEAR 
,,,,,,,,No,,SEAT SPRING 
,,,,,,,,No,,HANGER COUP VL YG 
,,,,,,,,No,,SEAT SPRING 
,,,,,,,,No,,SEAT SPRING FD 
,,,,,,,,No,,SPACER FD YP TENDER BOGIE 
,,,,,,,,No,,STOP FD 
,,,,,,,,No,,WASHER BEARING FINISHED 
,,,,,,,,No,,WASHER BEARING FINISHED 
,,,,,,,,No,,WASHER BEARING FINISHED 
,,,DRG NO/L/TX-351/,,,,,No,,TYRES MG R 
,,,,,,,,No,WHEEL 362 ,TYRE YL COUPLED 
,,,,,,,,No,,TYRES STEEL COUPLED WHEEL 
,,,,,,,,No,,TYRES STEEL COUPLED WHEEL 
,,,,,,,,No,,RATIONALISED TYRES 
,,,,,,,,No,,WASHER FD BRAKE GEAR PIN 
,,,,,,,,No,,PIN CRANK S FD LEADING 
,,,,,,,,No,,PIN CRANK SEMI FD TRAILING 
,,,,,,,,No,,COTTER FINISHED LEADING CRANK 
,,,,,,,,No,,BOLT STEEL LEADING CRANK PIN 
,,,,,,,,No,,ANTE STEEL ROUGH FOR YP YG TEN 
,,,,,,,,No,,AXLE STEEL ROUGH 
,,,,,,,,No,,ANTE STEEL ROUGH 
,,,,,,,,No,,ANTE STEEL COUPLE WHEEL EXEPT 
,,,,,,,,No,,ANTE STEEL FOR YP YG HIND TRUC 
,,,,,,,,No,,AXLE STEEL 
,,,,,,,,No,,PIN CRANK SEMI FD 
,,,,,,,,No,,KNOB FD DRIVING RETURN CRANK 
,,,,,,,,No,,LINER HUB FD YP YG DRUG WHEEL 
,,,,,,,,No,,LINER HUB FINISHED 
,,,,,,,,No,,PIN CRANK S FD R L H 
,,,,,,,,No,,LEVER FINISHED SAND BOX 
,,,,,,,,No,,BODY VALVE FINISHED SAND BOX 
,,,,,,,,No,,VALVE FNSHD SAND BOX SPINDLE 
,,,,,,,,No,,LAID FINISHED SAND BOX 
,,,,,,,,No,,SUPPORT MS SAND PIPE RH 
,,,,,,,,No,,SUPPRT FD SANDING GEAR PIPILH 
,,,,,,,,No,,GEAR PIPERH 
,,,,,,,,No,,REPAIRABLE TROLLY 
,,,,,,ALT'NIL ' ,,No,per 03103 ,BRAKE LEVER HANGER BRACKET 
,,,,,,ALT 'NIL ' ,,No,per 03188 ,BRACKET ASSY ANCHOR LINK FOR BOGIES 
,,,,,,ALT NIL ,,No,per 03111 ,BRACKET 
,,,,,,ALT NIL ,,No,ARRANGEMENTFOR 16 per 03103 ,BOGIE FRAME EOG BMBC 
,,,,,,ALT 'a ' ,,No,per 5 per 0 per 2 per 503 ,MACHINED FOR MOTOR COACHES WITH FUJI TYPE TRACTION MOTOR 
,,,,,,ALT 'e ' ,,No,per 5 per 0 per 2 per 504 ,ASSEMBLING TO MAKE WHEEL SET COMPLETE BOGIE WITH FUJI TRACTION MOTOR 
,,,,,,,,No,Compensating 00 T00 602 T00 09 ,Ring 
,,,,,,,,No,) 12 x 310 310 210 ,Compensating 
,,,,,,,,No,Size 250 x 180 x 12 ,Compensating Ring Primary Suspension x 
,SK.K 0014 ,,Drg No SK.K 0,,,alt-2 ,,No,compartment 014 ,Rack emergency equipment room gaurd complete assembly 
,,,,,,,,No,,Set compensating Rings A C Bogie 
,,,,,,,,No,) 12 x 285 x 200 ,Compensating x 
Specn no.IS-2062 ,,,Drg no.IRS C/BE-5026 12,,,,,No,,Compensating Ring Bogie Bolster suspension mm thick 
,,,Drg No.- ,,,,,No,ring 250 OD-250 174 & 5 ,Compensating thick Axle box arrangement 
SPECN ,SK3-0-2-005 ,,DRG NO ICF/SK3-0-2-005 ALT-NI,,ITEM NO 3 ,,,No,M 20 X 1.5 X 40 ,HEX HEAD SCREW X TO ICF L MTRL AND AS PER DRG 
,,,,,,,,No,,NUMBER PLATE 
,,,,,,,,No,,NUMBER PLATE FOR BOGIES BUILT IN RCF 
,,,DRG.NO.CC00102 ,,,ALT ` A ' ,,No,,NUMBER PLATE FOR BOGIES BUILT IN RCF per AS PER 
,,,,,,,,No,VERSION 01 ,SET OF AXLE BOX GUIDE ARRT WITH CAPSULE TYPE SHOCK ABSORBER per MPLCAPTSA 
,,,,,,,,No,VERSION 0 ,SET GUIDE ARRT WITH CAPSULE TYPE SHOCK RUBBER per MPLCTSARI 
,,,,,,ALT 'C ' ,,No,per 01243 ,MODIFIED LOWER SPRING SEAT FOR CAPSULE TYPE SHOCK ABSORBER 
,SK-K4004 ,,,,,ALT '3 ' ,,No,,SOLID FORGED WHEEL FOR EMU per RDSO 
,,,,,,ALT 'd ' ,,No,per 01244 ITEM 6 ,SPACER 
,,,,,,ALT 'wR ' ,,No,per 0 per 2 per 012 ,MACHINING AND ASSLY OF AXLE COMPLETE FOR MG COACHES 
,,,,,,,,No,,HELICAL SPRING FOR AXLE BOX OF DMU Coaches 
,,,,,,ALT 'g ' ,,No,per 0 per 1 per 001 ,HELICAL SPRING FOR AXLE BOX OF CARRIER COACH BOGIE OF MBIV 
,,,,,,Alt '1 ' ,,No,per 6016 TO 19 TO 93 ,WHEEL AND AXLE WITH FORGED FOR DIRECT MOUNTED ROLLER BEARING ARRGT FORGED WHEEL ( PART ) 
,,,,,,ALT '12 ' ,,No,FOR 13 & 16 per 1660 ,WHEEL SOLID ROUGH BOGIES 
,,,,,,ALT '12 ' ( ,,No,per 1660 L.NO.MC/WAP/TRL 08 L.NO.MC/WAP/TRL 11.04 L.NO.MC/WAP/TRL .11 UP 110 ,SOLID WHEEL ROUGH AS PER CAST WHEELS PERMITTED ) 
,,AMENDMENT SLIP NO.1 ,DRG NO.T-0-2-602 ,,Item No.2 ,Alt.- u/14 ,,No,NO 2007 NO 08 JULY 2009 ,AXLE BOX HOUSING TO ICF WITH MATERIAL AND SPECIFICATION AS PER RDSO SPECIFICATION OF 
Specn No.RDSO-2007-CG-08 ,,Amend.Slip No.1 ,Drg.No.T-0-2-602 ,,Item No.2 ,Alt.u/14 ,,No,Sheet 1 & 2 ,Axle Box Housing Finish machined per ICF Conforming RDSO 
SPECN 2062/2011 ,,,DRG NO ICF 'S DRAWING NO T 0 1 631 ,,,ALT K/4 ,,Yes,,SAFETY STRAP FOR AXLE BOX GUIDE ARRANGEMENT IS 
,,,,,,,,No,,STRAP SAFETY FOR COACHES 
,SKETCH 98018 ,,,,,,,No,ITEM 1 ,BOLSTER FOR VP COACHES per 
,SKETCH-98018 ,,,,,,,No,per 2 ,BOLSTER FOR VP COACHES 
,,,DRG.NO.T-0-1-608 ,,ITEM NO.2 ,ALT l 11 ( ,,No,,TOP SPRING SEAT FOR AXLE BOX GUIDE ARRANGMENT TO ICF SMALL MATERIAL AND SPECIFICATION AS PER 
,,,DRG.NO.T-0-1-608 ,,,Alt l/11 ,,No,,TOP SPRING SEAT FOR AXLE BOX GUIDE ARRANGEMENT TO 
,SK-97072 ,,DRG NO.SK-9707,,,ALT NIL ,,No,RING 13 RDSO 2 2 1 ,PACKING THICK TO 
SPECN ,,,DRG NO ICF 'S DRG NO DL 0 1 103 ,,,ALT.y/14 ,,Yes,IT 1 & 2 ,LOWER SPRING SEAT FOR AXLE BOX GUIDE ARRANGEMENT MATL AS PER DRAWING 
,,,DRG.NO.DL-0-1-103 ,,,ALT NO.Y/14 ,,Yes,ITEM 1 ITEM 2 ,LOWER SPRING SEAT FOR AXLE BOX GUIDE ARRANGEMENT ICFS IN ASSEMBLED CONDITION 
,SK-0-1-182 ,,DRG NO.ICF/SK-0-1-,,,ALT-e/NIL ,,No,CIRCLIP 115 TO 182 182 3 ,FOR MODIFIED AXLE BOX GUIDE ARRANGEMENT 
,SK-97072 ,,DRG NO.SK-9707,,,ALT-NIL ,,No,RING 26 RDSO 2 2 3 ,PACKING THICK TO 
SPECN 3195/92 ,,AMEND NO.2 ,DRG NO F 0 1 006 ,,,ALT A/10 ,RV.0 W,No,,HELICAL SPRING FOR CENTRELESS GROUND TO IS 
,,,,,,,,No,,SPRING HELICAL ICF COA 
SPECN 41/97 ,,AMENDMENT NO.2 ,DRG NO T 0 1 619 ,,,ALT I/13 ,,No,,DUST SHIELD FOR AXLE BOX GUIDE ARRANGEMENT TO MATL IRS M 
,,,drg no.WLRRM-0-1-802 ,,,alt j/3 ,,No,,Helical Spring high capacity power car Material specification per drg 
,,,,,,,,No,,SHIELD DUST AXLE BOX 
SPECN NO.WD-01-HLS-94 ,,,DRG NO.F-0-1-006 ,,,ALT.NO.C/10 ,RV-3 ) O,No,,HELICAL SPRING CENTRELESS GROUND TO OR LATEST AND 'S 
,,,DRG NO.F-0-1-006 ,,,ALT-C/10 ,RV.-3 .,No,NO 01 NO 94 WD-01-HLS-94 3 EV.-3 3 .-3 3 -3 3 .-3 3 3 3 .-3 3 -3 3 .-3 3 .-3 3 -3 3 .-3 3 3 3 .-3 3 -3 3 .-3 3 .-3 3 -3 3 .-3 3 3 3 .-3 3 -3 3 .-3 3 .-3 3 -3 3 .-3 3 3 3 .-3 3 -3 3 ,HELICAL SPRING FOR AXLE TO ICF SPEC AS PER SPEC .-3 .-3 -3 .-3 .-3 -3 .-3 3 .-3 -3 .-3 .-3 -3 .-3 3 .-3 -3 .-3 .-3 -3 .-3 3 .-3 -3 .-3 
,,,DRG NO.F.0.1.006.,,,ALT.NO.B/10 ( ,,No,,HELICAL CENTER LESS ICF FOR AXLE GUIDE ) 
,SK DRG.CODE.NO.A01 ] ,,DRG NO F-01-006 ,,,ALT.C/10 & ,RV.3 O,No,SPECIFICATION 01 SPECIFICATION 1994 [ .3 OF .09 RSK 01 ] .3 OF .09 RSK 01 ] 3 OF .09 RSK 01 ] .3 OF .09 RSK 01 OF .09 RSK 01 ] .3 OF .09 RSK 01 ] 3 OF .09 RSK 01 ] .3 OF .09 RSK 01 OF .09 RSK 01 ] .3 OF .09 RSK 01 ] 3 OF .09 RSK 01 ] .3 OF .09 RSK 01 OF .09 RSK 01 ] .3 OF .09 RSK 01 ] 3 OF .09 RSK 01 ] .3 OF .09 RSK 01 F .09 RSK 01 ] .3 OF .09 RSK 01 ] 3 OF .09 RSK 01 ] .3 OF .09 RSK 01 OF .09 RSK 01 ] .3 OF .09 RSK 01 ] 3 OF .09 RSK 01 ] .3 OF .09 RSK 01 OF .09 RSK 01 ] .3 OF .09 RSK 01 ] 3 OF .09 RSK 01 ] .3 OF .09 RSK 01 OF .09 RSK 01 ] .3 OF .09 RSK 01 ] 3 OF .09 RSK 01 ] .3 OF .09 RSK 01 ,AXLE BOX HELICAL SPRING FOR NON AC COACH TO ICF CONFIRMING TO RDSO [ ] OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] 3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] 3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] 3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] 3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] 3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] 3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] 3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] .3 OF JAN.09 ] [ RSK DRG.CODE.NO.A01 ] 
SPECN NO.WD-01-HLS-94 ,,,DRG NO.F-0-1-006 ,,,ALT.NO.C/10 ,RV-3 ) O,No,,HELICAL SPRING CENTRELESS GROUND TO OR LATEST AND 'S 
,,,DRG NO F-0.1.006 ,,,ALT x/10 & ,,No,FOR 13 ,HELICAL SPRING CENTRELESS GROUND TON AXLE BOX OR LATEST 
,,,,,,Alt ( C ) & ( 10 ) ,Rv-3 ) -,Yes,NO 0 NO 1 NO 006 Specification 01 Specification 94 ( 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ) 3 ,HELICAL CENTRELESS DRAWING ( ) ) ) -3 ) ) -3 ) 3 ) -3 ) ) -3 ) 3 ) -3 ) ) -3 ) 3 ) -3 ) -3 ) 3 ) -3 ) ) -3 ) 3 ) -3 ) ) -3 ) 3 ) -3 ) ) -3 ) 3 ) -3 ) -3 ) 3 ) -3 ) ) -3 ) 3 ) -3 ) ) -3 ) 3 ) -3 ) ) -3 ) 3 ) -3 ) -3 ) 3 ) -3 ) ) -3 ) 3 ) -3 ) ) -3 ) 3 ) -3 ) ) -3 ) 3 ) -3 ) 
,,,,,,,,No,,HELICAL SPRING CENTERLESS GROUND TO ICF 
SPECN WD-01-HLS-94 ,,,DRG NO F-0-1-006 ,,,,RV-3 ) O,No,,HELICAL CENTRELESS FOR AXLE BOX GUIDE ARRANGEMENT CONFIRMING TO RDSO NO 
,,,,,,,,No,,Spring Helical Axle 
