DRG._NUMBER,ALT_NUMBER,SPEC_NUMBER,ITEM_NUMBER,AMENDMENT_NO,SK_NUMBER,QUANTITY,REV_NUMBER,REST_DATA
Drg No.CONTR-9404-,Alt.12 ,,"Item Nos 4,5 6 7 ",,,,,Liner set sider bearer BLC wagon S-15 latest 
,,,,,,,,TARE TIE ROD GAUGE FOR B-CAR BILL WAGON SIZE 916MM MATERIAL TOOL STEEL TO IS 3748/90 HARDNESS 50/55 
,,,,,,,,Zero Friction Mono Rail System As per enclosed specification terms condition drawing 
DRG NO.DMU/DPC-O-3-009 ,ALT-f ,,,,,,,BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I 
,,,,,,,,Integrated Test Bench Air Spring Suspension Control Equipment Leveling valve Duplex check valve As Per enclosed specification 
,,,,,,,,Integrated Test Bench Air Spring Suspension Control Equipment Leveling valve Duplex check valve As Per enclosed specification 
DRG NO ICF/STD-6-3-018 ,,,,,,,,TOILET DOOR RUBBER STOPPER AS PER 
,,,,,,,,N1 Reducing valve double check valve assembly BLC wagons Specification As per faiveley part No 780268900 similar 
,,,,,,,,Mixer grinder equivalent model stallion DX 600 Kenstar equivalent Specification 600 watts b. working voltage 230 volt 50 Hz c. 3 jars stainless steel blades Make Kenstar philips usha lexus 
,,,,,,,,PTMT piller cock foam flow type size 15 Italian series model cat No:130-I Make PRAYAG BLUES WATERFALL model No WF-100 Blues model No.55 
,,,,,,,,Clamping arrangement Securing Air Brake Pipes Bogie Frame consisting 04 items per detailed part list drawing numbers mentioned overleaf 
Drg No FC-6-3-055 ,Alt-p/43 ,,,,,,,Galvd Bracket 3.15x30x259 clamping flush pipes ICF Item 8 
Drg.No.W/DW-297 ,ALT.1 ,,,,,,,Flap Door Chainless cotter BOXNHL wagon RDSO 
,,,,,,,,steam iron box model no.1920 Philips make Philips Bajaj USHA lexus 
Drg No ICF/SK-6-3-481 ,alt.e/nil Col-I items-1 6 7 ,,,,,,,Stainless steel Commercial quality SS304 mug chain rings ICF 
,,,,,,,,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE OF WSF MAKE EP BRAKE VALVE CONSISTING OF 12 ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF 
Drg.No T-0-5-648 ,,,,,,,,Wearing plate side bearer latest 
,,,,,,,,Hardwood packing size 2 feet x 1 feet x 2 inch recessed ends bonded 25mm width x 4mm thickness M.S strip make wood DHURSHANI/TAMARIND/SALWOOD 
,,,,,,,,Hard wood packing size 2feet x 1 feet x 12 inch recessed ends bonded 25mm width x 4mm thickness M.S strip Make wood DHURSHANI/TAMARIND/SALWOOD 
,,,,,,,,Hard wood packing size 2feet x 1 feet x 1 inch recessed ends bonded 25mm width x 4mm thickness M.S strip Make wood DHURSHANI/TAMARIND/SALWOOD 
,,,,,,,,"Supply fixing testing intermediate worn wheel profiles 21,23,24,26 28mm flange thickness checking gauges CNC surface wheel lathe The detailed particulars set attached "
,,,,,,,,Hard wood packing size 2feet x 1 feet x 4 inch recessed ends bonded 25mm width x 4mm thickness M.S strip Make wood DHURSHANI/TAMARIND/SALWOOD 
,,,,,,,,Hard wood packing size 3feet x 1 feet x 12 inch recessed ends bonded 25mm width x 4mm thickness M.S strip Make wood DHURSHANI/TAMARIND/SALWOOD 
,,,,,,,,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING OF 04 ITEMS AS PER DETAILED PART LIST attached 
,,,,,SK-K2029 ,,,Male thread connector C size 1216 x 1/2 per RDSO NOTE NO.4 Specification 12 inner dia/16 outer dia composite internal seal fitting similar KITEC make 
Drg.No WGSCWAC-6-1-029 ,,,item No 65 ,,,,,Supply conductor Berth ICF Note -To procured RDSO Approved sources per vendor directory AM-M.7.1.1 page 57 221 Note Offers RDSO Approved sources considered 
,,,,,,,,"Supply fixing testing intermediate worn wheel profiles 21,23,24,26 28mm flange thickness checking gauges CNC surface wheel lathe The detailed particulars set mentioned 1 21mm flange thickness worn wheel profile gauge LH-01no RH-01 21mm flange thickness worn wheel profile checking gauge LH-01no . RH-01 2 23mm flange thickness worn wheel profile gauge LH-01no RH-01 23mm flange thickness worn wheel profile checking gauge LH-01no . RH-01 3 24mm flange thickness worn wheel profile gauge LH-01no RH-01 24mm flange thickness worn wheel profile checking gauge LH-01no . RH-01 4 .26mm flange thickness worn wheel profile gauge LH-01no RH-01 26mm flange thickness worn wheel profile checking gauge LH-01no . RH-01 5 .28mm flange thickness worn wheel profile gauge LH-01no RH-01 28mm flange thickness worn wheel profile checking gauge LH-01no . RH-01 "
DRG NO T-0-4-613.,,,,,,,,BRACKET FOR ANCHOR LINK TO ICF COL II.AIT-q /10 
,,,,,,,,POH Kit isolating valve reducing valve WSF make Brake Valve Set consists 29 Hardware Items per detailed list attached sent mail mail ID 
,,,,,,,,POH kit EP brake valve Air portion Set 08 hard ware items M/s WSF make 1 Washer splinded shaft A70294/1- 01 No 2 Spring friction device Part No A87824/31 -01 No 3 Cam Roller Part No.J701181/1 -01 No 4 Exhaust Choke Part No A 70205/117- 01 No 5 Oil retaining bush valve body lower Part No.IA 70319- 01 No 6 Insulating strip Part No A88617/1 01 No 7 Insulating base Part No A88615/1 -01 No 8 Double contact Part No A88616/1 01 No 
,,,,,,,,G type door gear complete set consisting 2 items 1 Aluminium top amount channel 2mm thickness 6 feet length 2 Sliding door fitting Ball bearing type 
,,,,,,,,POH kit Equalising discharge valve M/s WSF make set 22 items per detailed part list given annexure mailed mail id 
,,,,,,,,Horn single tone-low suitable Elgi make Part No S07026 equivalent 
Drg.No.CG-11089 ,Alt.2 ,,,,,,,PTFE Sealing ring ball valve 5 RDSO Item-6 
DRG NO ICF/STD-6-3-018 ,,,,,,,,TOILET DOOR RUBBER STOPPER AS PER 
,,,,,,,,Supply Fitment Thread Chaser aChuck 12 inches dia Lock Plate Szie 10 inches dia complete Thread Chaser set suitable Threading Machine Mode3l CMT-PT-50 Continental Machine Tools Make MAKSON/VARUN/Continental Machine Tools Details given attachement mailed email ID likely sources 
DRG NO CC 91170 ,ALT-F ,,,,,,,BATTERY BOX COMPLETE FOR MAINTENANCE FREE BATTERIES VRLA BATTERIES NPP SIDE FOR SG AC COACHES TO RCF 
,,,,,,,,Anabond A-540 structural adhesive 
Drg No PD/TPYS/SCR Drg No C W-99 ,Alt Nil ,,,,,,,Back rest cum berth holding bracket smooth finish chromium plated CN coaches SCR 
,,,,,,,,Horn single tone-high suitable Elgi make Part No S007027 equivalent 
,,,,,,,,SS.Hex head bolt complete fitment P-Trap DRDE Bio-toilet tanks conventional SG Coaches consisting 3 items 1 SS.Hex.Bolt M8 x 25 percent u2013 5.6 IS:1364 Part-1 CE 2 SS.Hex Nut M8 A2-70 IS:1367 Part-14 IS:1364 Part-3 percent u2013 2002 3 Spring washer B8 IS 3063-1994 Coating MDTS-057 
,,,,,,,,SUPPLY STITCHING OF CURTAIN CLOTH EQUIVALENT TO GM MAKE COLLECTION BINGO DESIGN- DECCAN WITH HIGHLET MODEL AS PER SAMPLE AVAILABLE IN THE OFFICE OF SR.DME/CO-ORD/SC WIDTH 48 INCHES Dimensions attached 
Drg.No ICF/SR/DMU/TC/E-3-4-007 ,,,,,,,,Chain HAND BRAKE UNIT arrangement consisting 5 inks link dia 20mm length 60mm ktotal length chain 340mm per ICF confirming IS Specification IS 6216-1982 Gr.T 8 
,alternator DEMU DPC suitable KEL Part No.A1006 ,,,,,,,"Pulley Foot mounted auxiliary A Type KEL A 18.5 KW ,6 Groove percent C7 Type Make KEL/BHEL/Govind spares "
drg.No LB 58132 ,Alt -Nil ,,,,,,,Bottom Nylon guide sliding door SLR Coaches RCF 
Drg No EMU/M-0-1-008 ,Alt -s/6 ,,,,,,,Lower Rubber Washer Axle Box Guide Arrangement Item -1 
,,,,,,,,Rain coat Polyester Nylon rubberized inside layer consisting Pant Shirt detachable Non-detachable hood Colour size As per requirement consignee Make Duck back Rainbow Rastro Adidas 
,,,,,,,,FENNER POLYF V BELT MODEL SPC3550 similar suitable Chicago Air Compressor 
Drg.No CONTR 9404-,Alt-8 ,,Item No.3 ,,,,,Center pivot liner BLC Wagon RDSO S/5 
Drg SSE/C W/SC/SK-001 ,,,,,,,,Pad Lock one time lock made hard plastic moulded rectangular cuboid internal permanent locking arrangement steel rod per drawing enclosed . 
,,,,,,,,MODIFIED RESTRICTOR ON CBC FOR SLR AS PER RDSO DRAWING NO CG 10063 MATERIAL IS 8500 1991 Gr Fe 540 
,,,,,,qty Supply To procured authorized dealers ,,Toner cartridge suitable canon printer NPG 59 Toner canon Copiers IR 2002 Similar Note Delivery phased Manner first 03 No Supply five months Balance 
,,,,,,,,Polyster heavy duty Road endless sling capacity 03 tones length 1.8 meters anti abrasive cover along OEMs test certificate ratio 5:1 Make Slingset Samson Ferre terro Spanset 
Drg No ICF/MRVC/D-0-3-001 ,alt-1 ,,,,,,,Bogie frame arrangement EMU Trailer Coaches 180/150 KN Air spring ICF col-1 
,Alt B ,,,,,,,Diffuser complete FTL fitting LHB coaches RCF Drawing LW 76012 
,,,,,,,,Office Table Similar Godrej Make Modal no.1500 CPU hanger MAKE -Godrej Nilkamal Featherlite Specifications 1 Dimensions approx a. Width W 1500mm b Depth D 750mm c. Height H 728mm 2 Table Should Provided Wooden modesty panel b Slots top frame passage wires c. A CPU hanger d. Should contain 03 drawer unit lock facility 3 ADC required 
,,,,,,,,Supply Installation commissioning Electrical Gantry Hoist 7.5 Tons Capacity INDEF Make Model No HW4 M -H1 Similar Features Hoist 1 Planetary gear box smooth low noise operation 2 Compact gear box inside drum 3 Gear coupling 4 Overload sensor 5 Rugged ring type rope guide 6 Optional rotary limit switch 7 Electronic magnetic brake motor 8 Seamless tube drums Specifications S.no Description Unit 1 SWL 7.5 Ton 2 Lift 10.5Mtr 3 Drum length 695mm 4 Class II 5 No.of falls 2falls 6 Wire rope dia 18mm 7 Hoisting speed 8.2mtr/min 8 Hoisting motor KW 15 KW 9 Travelling speed 17mtr/min 10 Travelling motor 0.55KW 02 11 Head room 1860mm 12 Flange width 125-210mm 13 ISMB min 250-600mm 14 Approx Weight Hoist 480kg 15 Approx weight trolley 140kg Scope supply include following 1 Trolley Brake 2 Bogie trolley 3 Geared Rotary limit switch including erection commissioning 4 CT limit switch 5 Emergency ON/OFF P.B.with master contactor 6 Lockable P.B 7 Festooning cable 20mtrs ADC required standard M P conditions applicable M P Condition attached 
Drg WD 07054/,Alt- Nil.,,Item No.8 ,,,,,Double offset high performance butterfly valve Body Cast carbon steel ASTM A216 GR WCB Seat UHMWPE seat Retainer Ring SS304.Operation Gear operated size 350mm per RDSO S -14 
Drg.No RITES/TP-9405 ,Alt 9 ,,Item No.7 ,,,,,Striker casting Bogie container flat per RITES/TP-9405 S-001 latest Ref.S-002 Alt-3 latest 
DRG.NO CONTR-9404-,ALT-10 ,,,,,,,EQUALISING LEVER FOR A CAR FOR BLC WAGON TO RDSO S-10 ITEM-1 
Drg No CONTR 9406-,Alt 7 ,,Item No.2 ,,,,,Tie Rod B Car S/7 latest Ref Drg No CONTR 9405-S/11 Item No.2 Alt-7 latest 
Drg.No CONTR-9406-,Alt.7 ,,Item No.4 ,,,,,Pull Rod Main For B Car S/7 Refer Drg.No CONTR-9405-S-11 Item No.3 Alt.7 
DRG.NO.CONTR-9404-,ALT-10 ,,,,,,,EQUALISING LEVER B CAR FOR BLC WAGON TO RDSO S-10 ITEM-2 
Drg No CONTR 9404- ,Alt 11 ,,,,,,,Side bearer coil spring BLC wagons RDSO S/15 Item 3 
,,,,,,,,Bogie number indication plate M.S Plate zinc coated size 110 x 40 x 3 thick engraving LG-0001 LG-3000 Letter size 10 height 
,,,,,,,,Front support Coupler body CBC Part No 727857000 Faiveley 
,,,,,,,,Frame CPL supporting Device CBC Part No 727822000 Faiveley 
,,,,,,,,Beam CPL Supporting device CBC Part No 727812000 Faiveley 
,,,,,,,,"Set Spares Air Compressor Make GARDNER DENVER LB30 Set Spares Air Compressor Make GARDNER DENVER LB30 1.Description item Air filter element air compressor OEM product code QX104555 Make GARDNER DENVER Model LB30 Quantity:01 No.,2.Description item Oil filter Cartridge air compressor OEM product code A11381974 Make GARDNER DENVER Model LB30 Quantity:01 No.,3.Description item Air filter element air compressor OEM product code QX104555 Make GARDNER DENVER Model LB30 Quantity:01 No.,4.Description item Oil 20 litres air compressor OEM product code CC1119981 Make GARDNER DENVER Model LB30 Quantity:01 CAN "
DRG NO ICF/SK-6-3-481 ,ALT.E/NIL COL-I ITEMS-1 6 7 ,,,,,,,STAINLESS STEEL COMMERCIAL QUALITY SS304 MUG WITH CHAIN AND RINGS TO ICF TO PL NO 39676782 
drg.No LB 58132 ,Alt -Nil ,,,,,,,Bottom Nylon guide sliding door SLR Coaches RCF 
,,,,,,,,POH kit Equalising discharge valve M/s WSF make set 22 items per detailed part list given annexure mailed mail id 
,,,,,,,,POH kit EP brake valve Air portion Set 08 hard ware items M/s WSF make 1 Washer splinded shaft A70294/1- 01 No 2 Spring friction device Part No A87824/31 -01 No 3 Cam Roller Part No.J701181/1 -01 No 4 Exhaust Choke Part No A 70205/117- 01 No 5 Oil retaining bush valve body lower Part No.IA 70319- 01 No 6 Insulating strip Part No A88617/1 01 No 7 Insulating base Part No A88615/1 -01 No 8 Double contact Part No A88616/1 01 No 
,,,,,,,,SET OF ELECTRONIC AND ELECTRO PNEUMATIC EQUIPMENT FOR EP BRAKE SYSTEM OF DEMU AND EMU COACHES AS PER THE DETAILED PART LIST AND SPECIFICATIONS MENTIONED OVERLEAF REQUIRED MAKE DANFOSS/FESTO/MICRO -PNEUMATIC ONLY 
Drg No DMU/DPC/-0-3-009 ,alt ,,,,,,,Bogie frame arrangement DEMU 700 HP Coaches ICF col-1 
,,,,,,,,G type door gear complete set consisting 2 items 1 Aluminium top amount channel 2mm thickness 6 feet length 2 Sliding door fitting Ball bearing type 
DRG .NO WLRRM-0-5-006 ,ALT- E FROM APPROVED SOURCES ONLY Note -Offers ICF Approved sources considered ,,,,,,,LOWER SPRING BEAM ARRANGEMENT FOR SELF-GENERATION AC COACHES TO ICF COL-1 
,,,,,,,,Maintenance Kit WSF Make EP Brake controller consisting 20 items per attachement attachement mailed firm PAC item since IREPS program accepting uploading documents 
,,,,,,,,Anabond A-540 structural adhesive 
,,,,,,,,POH Kit isolating valve reducing valve WSF make Brake Valve Set consists 29 Hardware Items per detailed list attached sent mail mail ID 
,,,,,,,,Horn single tone-high suitable Elgi make Part No S007027 equivalent 
,,,,,,,,FOUR LEGGED CHAIN SLING IS 2760 1980 20 TON CAP DETAILED DESCRIPTION FOUR LEGGED LIFTING CHAIN SLING IS 2760:1980 12.5MM DIA GRADE 80 ALLOY STEEL SHORT LINK CHAIN BUTT WELDED IS 6216 2003 TOP BULL RING 56MM DIA X 250MM ID INTERMEDIATE BULL RING 125MM ID BOTTOM END FORGED EYE HOOK IS 3822:2002 GR T EFFECTIVE LENGTH-2.5MTRS SAFE WORKING LOAD-20 TON PROOF LOAD 40 TON PROOF LOAD TEST CERTIFICATE TO B E ENCLOSED FROM GOVT APPROVED AT GUEST HOUSE MAKE NATIONAL ENGG WORKS/NEO ROPES TACKLES/MEGA LINKS CHAIN 
,,,,,,,,"LaserJet printer equivalent Model HP LaserJet PRO M202/203 Printer series Similar Model Print speed Up 26/25 ppm Letter/A4 ISO Up 1200 x 1200 dpl Black Best Up 4800 x 600 dpl Black Normal 750 MHZ 128 MB RAM 2-Line LCD Text Duty Cycle 15,000pages per month RMPV Up 250 2,000 pages2 1HI-Speed USB 2.0 1 Ethernet 10/100 Make HP CANON SAMSUNG "
,,,,,,,,POH kit EP brake valve Air portion Set 08 hard ware items M/s WSF make 1 Washer splinded shaft A70294/1- 01 No 2 Spring friction device Part No A87824/31 -01 No 3 Cam Roller Part No.J701181/1 -01 No 4 Exhaust Choke Part No A 70205/117- 01 No 5 Oil retaining bush valve body lower Part No.IA 70319- 01 No 6 Insulating strip Part No A88617/1 01 No 7 Insulating base Part No A88615/1 -01 No 8 Double contact Part No A88616/1 01 No 
Drg No PD/TPYS/SCR Drg No C W-99 ,Alt Nil ,,,,,,,Back rest cum berth holding bracket smooth finish chromium plated CN coaches SCR 
,,,,,,,,Horn single tone-low suitable Elgi make Part No S07026 equivalent 
Drg.No CONTR 9404-,Alt-8 ,,Item No.3 ,,,,,Center pivot liner BLC Wagon RDSO S/5 
,,,,,,,,Supply Fitment Thread Chaser aChuck 12 inches dia Lock Plate Szie 10 inches dia complete Thread Chaser set suitable Threading Machine Mode3l CMT-PT-50 Continental Machine Tools Make MAKSON/VARUN/Continental Machine Tools Details given attachment 
,,,,,,,,Taps Press matic pillar cock make JAQUAR model no.PRS-031 Similar Make JAQUAR VIJAY HINDWARE 
DRG SCR/LGD/M P/DRG No.0155 ,,,,,,,,Front Half Open Cage Pallet shown As per enclosed specification 
Drg.No WGSCWAC-6-1-029 ,,,item No 65 ,,,,,Supply conductor Berth ICF Note -To procured RDSO Approved sources per vendor directory AM-M.7.1.1 page 57 221 Note Offers RDSO Approved sources considered 
Drg No CONTR 9406-,Alt 7 ,,Item No.2 ,,,,,Tie Rod B Car S/7 latest Ref Drg No CONTR 9405-S/11 Item No.2 Alt-7 latest 
DRG NO.DMU/DPC-O-3-009 ,ALT-f Note RCF/ICF approved sources considered ,,,,,,,BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I 
,,,,,,,,POH kit Equalising discharge valve M/s WSF make set 22 items per detailed part list given annexure mailed mail id 
Drg.No WD-91071-,Alt nil latest Item.01 ,,,,,,,Door flap BOBRN wagon RDSO S-66 
DRG NO T-0-4-613.,,,,,,,,BRACKET FOR ANCHOR LINK TO ICF COL II.AIT-q /10 
Drg No ICF/MRVC/D-0-3-001 ,alt-1 ,,,,,,,Bogie frame arrangement EMU Trailer Coaches 180/150 KN Air spring ICF col-1 
DRG NO.DMU/DPC-O-3-009 ,ALT-f Note RCF/ICF approved sources considered ,,,,,,,BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I 
,,,,,,,,Alloy steel 4 Legged Chain sling capacity SWL-20 Ton 0 degree leg 12 chain dia x 2.5 mtr length master ring ID-250mm top 5 Ton Capacity eye hook bottom Test Certificate Govt Approved agency Specification chain IS-6215 ISI marked 
,,,,,,,,Supply Installation commissioning Electrical Gantry Hoist 7.5 Tons Capacity INDEF Make Model No HW4 M -H1 Similar Features Hoist 1 Planetary gear box smooth low noise operation 2 Compact gear box inside drum 3 Gear coupling 4 Overload sensor 5 Rugged ring type rope guide 6 Optional rotary limit switch 7 Electronic magnetic brake motor 8 Seamless tube drums Specifications S.no Description Unit 1 SWL 7.5 Ton 2 Lift 10.5Mtr 3 Drum length 695mm 4 Class II 5 No.of falls 2falls 6 Wire rope dia 18mm 7 Hoisting speed 8.2mtr/min 8 Hoisting motor KW 15 KW 9 Travelling speed 17mtr/min 10 Travelling motor 0.55KW 02 11 Head room 1860mm 12 Flange width 125-210mm 13 ISMB min 250-600mm 14 Approx Weight Hoist 480kg 15 Approx weight trolley 140kg Scope supply include following 1 Trolley Brake 2 Bogie trolley 3 Geared Rotary limit switch including erection commissioning 4 CT limit switch 5 Emergency ON/OFF P.B.with master contactor 6 Lockable P.B 7 Festooning cable 20mtrs ADC required standard M P conditions applicable M P Condition attached 
,,,,,,,,"LaserJet printer equivalent Model HP LaserJet PRO M202/203 Printer series Similar Model Print speed Up 26/25 ppm Letter/A4 ISO Up 1200 x 1200 dpl Black Best Up 4800 x 600 dpl Black Normal 750 MHZ 128 MB RAM 2-Line LCD Text Duty Cycle 15,000pages per month RMPV Up 250 2,000 pages2 1HI-Speed USB 2.0 1 Ethernet 10/100 Make HP CANON SAMSUNG "
,,,,,,,,POH Kit isolating valve reducing valve WSF make Brake Valve Set consists 29 Hardware Items per detailed list attached 
,,,,,,,,Alloy steel 4 Legged Chain sling capacity SWL-20 Ton 0 degree leg 12 chain dia x 2.5 mtr length master ring ID-250mm top 5 Ton Capacity eye hook bottom Test Certificate Govt Approved agency Specification chain IS-6215 ISI marked 
,,,,,,,,Rubber ring Cummins Part No :3872271 equivalent FP diesel Make Cummins/FP diesel 
,,,,,,,,SS.Hex head screw complete mounting DRDE Bio-Digester system outer head stock conventional SG Coaches consisting 3 items 1 SS.Hex head screw M16 x 75 A2-70 IS 1367 Part-14 IS 1364 Part -2 -2002 2 SS.Nylock Nut M16 A2-7 IS 1367 Part-14 IS 7002-2005 3 Spring washer B16 IS 3063-1994 Coating MDTS-057 
DRG NO ICF/MRVC/D-0-3-001 ,ALT-A ,,,,,,,BOGIE FRAME ARRANGEMENT FOR EMU TRAILER COACHES 180/150 KN AIR SPRING TO ICF COL-1 
DRG NO.DMU/DPC5-0-3-501 ,ALT-W/5 ,,,,,,,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SUSPENSION BOGIE FOR DEMU 1400HP-NON AERO DYNAMIC COACHES TO ICF COL-I 
,,,,,,,,Sticker Indicating Hindi Letters vertically Emergency Window Size 43 X 455 Material Letters Night Glow Backgroung Vinyle/Redium Red Colour As per Sample Arrow indication directed consignee 
,,,,,,,,"LaserJet printer equivalent Model HP LaserJet PRO M202/203 Printer series Similar Model Print speed Up 26/25 ppm Letter/A4 ISO Up 1200 x 1200 dpl Black Best Up 4800 x 600 dpl Black Normal 750 MHZ 128 MB RAM 2-Line LCD Text Duty Cycle 15,000pages per month RMPV Up 250 2,000 pages2 1HI-Speed USB 2.0 1 Ethernet 10/100 Make HP CANON SAMSUNG "
DRG NO DMU/DPC-0-3-009 ,ALT-F ,,,,,,,BOGIE FRAME ARRANGEMENT FOR DEMU 700HP COACHES TO ICF COL-I 
,,,,,,,rev 2007 ,Black magnetic particle size 20 micron magnetic particle testing MPT non florescent method 500 ml aerosol net quantity 400ml RDSO spcn No M C/NDT/8-109 Latest Brand PMC equivalent 
,,,,,,,,Wet Dry Manual mop 50cm adjustable telescopic pole handle aluminum powder coated blended synthetic cotton yean set make roots E2EE clean past No 559260002 similar Additional spares refill part No 558260048 Specifications 1 MOPS ideal dry sweeping wet mopping 2 It Should contain electrostatic properties cling fine dust mop 3 Telescopic handle enable height adjustment anywhere 1 to1.8meters 4 MOP made blend natural synthetic fibers ensures dust free sweeping 5 Swivel base allow user rotate mop 180 degrees 6 EZC CLEAN PLUS 50CM WET AND DRY MOP WET DRY MOP POLE HIGHT -height adjustment feature minimum requirement 1.0 1.8 meters 
,,,,,,,,Supply installation mobile Compactors Set Per specification enclosed MAKE Godrej similar Nilkamal Featherlite 
,,,,,,,,Hose Flexible 7/8 ID Specification SAE 100 R5 Minimum length 30 meters 
,,,,,,,,Buffer height gauge Equivalent model BHG -1 M/s Ganapathy industries Chennai CBC suitable measuring height CBC fitted BG wagons measured top surface rail Measuring range 900mm 1150 measuring accuracy /-1.0 supply calibration certificate NABL approved lab packed wooden carrying box Material tool steel IS 3748/90 hardness 50/55 HRC 
,,,,,,,,Office table Similar Godrej make modal Table T-104 MAKE Godrej Nikamal featherlite Specifications 1 Dimensions approx a. Width W 1665mm b Depth D 900mm c. Height H 750mm 2 Shall contain two sets storage units i.e . One 03drawer unit one Box one file drawer unit 3 Shall square/Round tubular frame 4 Shall inter locked welded joints modesty panel PVC edge bonded laminated top 5 Steel parts shall undergo electro static painting alkali amino enamel scratch free surface 6 ADC required 
,,,,,,,,Wheel distance measuring gauge fitted Vernier scale analog type IS:3651 Part 02 1985 With LC 0.02mm ISI Marked spirit level Measuring range 1590mm to1610 measuring accuracy /-0.10mm.suitable carriage wagon packed carrying wooden box supply calibration certificate NABL approved lab Material tool steel IS 3748/90 Hardness 50/55HRC 
,,,,,,,,Hose Flexible 7/8 ID Specification SAE 100 R5 Minimum length 30 meters 
,,,,,,,,Solenoid Coil Brake Coil Coil voltage 415 440V Make BCH Model No SP50MC21 Similar 
Drg.No WGSCWAC-6-1-029 ,,,item No 65 ,,,,,Supply conductor Berth ICF Note -To procured RDSO Approved sources per vendor directory AM-M.7.1.1 page 57 221 Note Offers RDSO Approved sources considered 
,,,,,,,,Solenoid Coil Brake Coil Coil voltage 415 440V Make BCH Model No SP50MC21 Similar 
DRG NO.DMU/DPC 5-0-3-501 ,ALT-W/5 ,,,,,,,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SUSPENSION BOGIE FOR DEMU 1400HP-NON AERO DYNAMIC COACHES TO ICF COL-I 
,,,,,,,,Visitor Cantilevered Chair without arms similar Godrej make model Regency PCH-7004 MAKE Godrej Nilkamal Featherlite Specifications 1 Dimensions approx a. Width W 525mm b Depth D 610mm c. Height H 805mm d. Seat Height SH 460-585mm 2 Chair provided Center Tilt mechanism b Tilt Locking c. Swivel Mechanism d. 100 percent VOC free powder coating 3 ADC required 
,,,,,,,,06 DOOR Personal Storage locker Base unit along 02nos 06Door add-on units MAKE Godrej similar Nilkamal Featherlite Specifications enclosed 
,,,,,,,,Office Table Similar Godrej Make Modal no.1500 CPU hanger MAKE -Godrej Nilkamal Featherlite Specifications 1 Dimensions approx a. Width W 1500mm b Depth D 750mm c. Height H 728mm 2 Table Should Provided Wooden modesty panel b Slots top frame passage wires c. A CPU hanger d. Should contain 03 drawer unit lock facility 3 ADC required 
,,,,,,,,SR Solution Make Fevicol Jivanjor Wood touch 
,,,,,,,,Earth clamp 600AMPS made zinc coated steel copper plated jaws suitable copper mesh jaw opening 60mm MAKE ESAB similar 
,,,,,,Qty 400,,White contrast paint detect surface crack detect magnetic particle testing method 500ml metal spray system net ml RDSO Spc No BS-5044 DCC-1973 latest 
DRG NO.WTAC-0-3-402 ,ALT-1 ,,,,,,,BOGIE FRAME ARRANGEMENT FOR SELF GENERATION AC COACHES WITH FABRICATED I/SECTION LONGITUDINAL FOR BMBS TO ICF COL-II SMALL l /3 
,,,,,SKA make Tower Lights Each Set Consisting following items SL NO 1.,Qty 02 ,,Set Spares APart no:492889 Description item Pre-cleaner Element filter Nos 2.Part no:50007 Description item Air Blower Qty 02 Nos 3.Part FPL/2024 Description item Fuel Pipeline Qty 01 Nos 4 Part no:498260 Description item Kit Carburetor Qty 01 Nos 5 Part 496863 Description item Carburetor Qty 01 Nos 6 Part VPE/2025 Description item Vibration Pad Engine Qty 02 Nos 
,,,,,,,,Alloy Steel UJ Cross cup Needle Bearings size :59 dia X 168 length VS 59 X 168 suitable cardon shaft Traverser cap -70 Ton .Make Unique Handlers Vamsee /Weltee OEM Authorized Dealers quote valid certificate 
DRG NO CC 91170 ,ALT-F ,,,,,,,BATTERY BOX COMPLETE FOR MAINTENANCE FREE BATTERIES VRLA BATTERIES NPP SIDE FOR SG AC COACHES TO RCF 
,,,,,,,,SHORT BODY BIB COCK AS PER JAQUAR MODEL NO CON-54 HINDWARE Goldline Model No EN-21 FOAM TYPE 
DRG NO CC 91170 ,ALT-F ,,,,,,,BATTERY BOX COMPLETE FOR MAINTENANCE FREE BATTERIES VRLA BATTERIES NPP SIDE FOR SG AC COACHES TO RCF 
,,,,,,,,Taper Lock Bush Chicago Pneumatic Air Compressor OEM Part No 1903672103 
,,,,,,,,Liquefied petroleum gas LPG metal cutting per IS 4576/1999 Reaffirmed 2009 19 kgs capacity returnable cylinders supply effected May 17 March 18 approx 20 cylinders /month 
,,,,,,,Revolving Chair High Back Similar Godrej make model Regency PCH-7001,Executive D MAKE Godrej Nilkamal Featherlite Specifications 1 Dimensions approx a. Width W 750mm b Depth D 750mm c. Height H 1060-1175mm d. Seat Height SH 460-585mm 2 The Table shall provided Center Tilt mechanism b Tilt Locking c. Moulded Foam d. Pneumatic height adjustment e. Swivel Mechanism f. Twin wheel castors 3 100 percent VOC free powder coating 4 ADC required 
