DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY,REST
DRG NO T-0-4-613.,No,,,,,,,II.AIT-q 10 ,,BRACKET FOR ANCHOR LINK TO ICF 
,No,,,,,,,consists 29 ,,POH Kit isolating valve reducing valve WSF make Brake Valve Set Hardware Items per detailed list attached sent mail mail ID 
,No,,,,,,,Set 08 make 1 shaft 70294 shaft 1 A70294/1- 01 No 2 No 87824 No 31 A87824/31 01 No 3 Part 701181 Part 1 No.J701181/1 01 No 4 A 70205 A 117 70205/117- 01 No 5 No.IA 70319 70319- 01 No 6 No 88617 No 1 A88617/1 01 No 7 No 88615 No 1 A88615/1 01 No 8 No 88616 No 1 A88616/1 01 ,,POH kit EP brake valve Air portion hard ware WSF Washer splinded Spring friction device No No Cam Roller Part -01 No Exhaust Choke Part No 01 No Oil retaining bush valve body lower Part 01 No Insulating strip Part No 01 No Insulating base Part No -01 No Double contact Part No 01 No 
,No,,,,,,,consisting 2 items 1 channel 2 thickness 6 length 2 ,,G type door gear complete set Aluminium top amount feet 2 Sliding door fitting Ball bearing type 
,No,,,,,,,set 22 ,,POH kit Equalising discharge WSF make items per detailed part list given annexure mailed mail id 
,No,,,,,,,No 07026 ,,Horn suitable Elgi make Part equivalent 
Drg.No.CG-11089 ,No,,,,,Alt.2 ,,valve 5 RDSO 6 ,,PTFE Sealing ring ball 
DRG NO ICF/STD-6-3-018 ,No,,,,,,,,,TOILET DOOR RUBBER STOPPER AS PER 
,No,,,,,,,aChuck 12 Szie 10 Machine 3 Mode3l 50 ,,Supply Fitment Thread Chaser inches dia Lock Plate inches dia complete Thread Chaser set suitable Threading Continental Machine Tools Machine Tools Details given attachement mailed email ID likely sources 
DRG NO CC 91170 ,No,,,,,ALT-F ,,,,BATTERY BOX COMPLETE FOR MAINTENANCE FREE BATTERIES VRLA BATTERIES NPP SIDE FOR SG AC COACHES TO RCF 
,No,,,,,,,Anabond 540 ,,structural adhesive 
Drg No PD/TPYS/SCR Drg No C W-99 ,No,,,,,Alt Nil ,,,,Back rest cum berth holding bracket smooth finish chromium plated CN coaches SCR 
,No,,,,,,,No 007027 ,,Horn suitable Elgi make Part equivalent 
,No,,,,,,,consisting 3 items 1 SS.Hex.Bolt 8 x 25 percent 2013 u2013 5.6 5.6 1364 IS:1364 1 CE 2 Nut 8 M8 2 M8 70 A2-70 1367 IS:1367 14 Part-14 1364 IS:1364 3 percent 2013 u2013 2002 2002 3 washer 8 IS 3063 IS 1994 Coating 057 ,,head bolt complete tanks conventional SG Coaches SS.Hex M8 IS:1364 percent u2013 3 Spring 
,No,,,,,,,WIDTH 48 ,,SUPPLY STITCHING CURTAIN CLOTH EQUIVALENT TO GM MAKE COLLECTION DECCAN WITH HIGHLET MODEL AS PER SAMPLE AVAILABLE IN THE OFFICE OF INCHES Dimensions attached 
Drg.No ICF/SR/DMU/TC/E-3-4-007 ,No,,,,,,,consisting 5 dia 20 length 60 chain 340 IS 6216 IS 1982 Gr.T 8 ,,Chain HAND BRAKE UNIT arrangement inks link ktotal length per ICF confirming Specification IS 
,No,,,,,,,Part 1006 A 18.5 KW 6 percent 7 ,,Pulley Foot mounted auxiliary Pulley Foot mounted auxiliary alternator DEMU DPC suitable KEL Type KEL A Groove Type spares 
drg.No LB 58132 ,No,,,,,Alt -Nil ,,,,Bottom Nylon guide sliding door SLR Coaches RCF 
Drg No EMU/M-0-1-008 ,No,,,,,Alt -s/6 ,,Item 1 ,,Lower Rubber Washer Axle Box Guide Arrangement 
,No,,,,,,,,,Rain coat Polyester Nylon rubberized inside layer consisting Pant Shirt hood Colour size As per requirement consignee Make Duck back Rainbow Rastro Adidas 
,No,,,,,,,MODEL 3550 ,,FENNER POLYF V BELT similar suitable Chicago Air Compressor 
Drg.No CONTR 9404-,No,,Item No.3 ,,,Alt-8 ,,RDSO 5 ,,Center pivot liner BLC Wagon 
Drg SSE/C W/SC/SK-001 ,Yes,,,,,,,,,Pad Lock one time lock made hard plastic moulded rectangular cuboid internal permanent locking arrangement steel rod per drawing 
,Yes,,,,,,,CG 10063 IS 8500 8500 1991 Fe 540 ,,MODIFIED RESTRICTOR ON CBC FOR SLR AS PER RDSO DRAWING NO MATERIAL Gr 
,No,,,,,,,NPG 59 IR 2002 first 03 NPG 59 IR 2002 first 03 ,,Toner cartridge suitable canon printer Toner canon Copiers Similar Note Delivery phased Manner No Supply five months Balance Toner cartridge suitable canon printer NPG 59 Toner canon Copiers IR 2002 Similar Note Delivery phased Manner first 03 No Supply five months Balance qty Supply To procured authorized dealers 
,No,,,,,,,capacity 03 length 1.8 ratio 5 ratio 1 ,,Polyster heavy duty Road endless sling tones meters anti abrasive cover along OEMs test certificate Make Slingset Samson Ferre terro Spanset 
Drg No ICF/MRVC/D-0-3-001 ,No,,,,,alt-1 ,,Coaches 180 Coaches 150 ICF 1 ,,Bogie frame arrangement EMU Trailer KN Air spring 
,Yes,,,,,Alt B ,,LW 76012 ,,Diffuser complete FTL fitting LHB coaches RCF Drawing 
,No,,,,,,,Modal .1500 Specifications 1 W 1500 D 750 H 728 728mm 2 contain 03 facility 3 ,,Office Table Similar Godrej Make CPU Nilkamal Featherlite Dimensions Width b Depth Height Table Should Provided Wooden modesty panel b Slots top frame passage c. A CPU hanger Should drawer unit lock ADC required 
,No,,,,,,,Hoist 7.5 No 4 M 1 Hoist 1 operation 2 drum 3 coupling 4 sensor 5 guide 6 switch 7 motor 8 Unit 1 SWL 7.5 Ton 2 Lift 10.5 10.5Mtr 3 length 695 695mm 4 II 5 falls 2 2falls 6 dia 18 18mm 7 speed 8.2 8.2mtr/min 8 KW 15 KW 9 speed 17 17mtr/min 10 motor 0.55 0.55KW 02 02 11 room 1860 1860mm 12 width 125 width 210 125-210mm 13 min 250 min 600 250-600mm 14 Hoist 480 480kg 15 trolley 140 following 1 Brake 2 trolley 3 commissioning 4 switch 5 contactor 6 P.B 7 cable 20 ,,Supply Installation Electrical Gantry Tons Capacity INDEF Make Model Similar Features Hoist Planetary gear box smooth low noise Compact gear box inside Gear Overload Rugged ring type rope Optional rotary limit Electronic magnetic brake Seamless tube drums Description 1 7.5 2 3 Drum 4 Class 5 6 Wire rope 7 Hoisting 8 Hoisting motor KW Travelling speed Travelling motor Head Flange ISMB Approx Weight Hoist 15 Approx weight Scope supply include 1 Trolley 2 Bogie trolley 3 Geared Rotary limit switch including erection commissioning 4 CT limit switch 5 master 6 7 Festooning ADC required standard M P conditions applicable M P Condition attached 
Drg WD 07054/,No,,Item No.8 ,,,Alt- Nil.,,ASTM 216 Ring 304 size 350 S 14 ,,Double offset high performance butterfly valve Body Cast carbon steel GR WCB Seat UHMWPE seat Retainer Gear operated per RDSO 
Drg.No RITES/TP-9405 ,No,,Item No.7 ,,,Alt 9 ,,per 9405 RITES/TP-9405 001 latest 002 Ref.S-002 3 ,,Striker casting Bogie container flat latest 
DRG.NO CONTR-9404-,No,,,,,ALT-10 ,,RDSO 10 S-10 1 ,,EQUALISING LEVER FOR A CAR FOR BLC WAGON TO 
Drg No CONTR 9406-,No,,Item No.2 ,,,Alt 7 ,,Car 7 CONTR 9405 CONTR 11 Item .2 No.2 7 ,,Tie Rod B latest Ref Drg No latest 
Drg.No CONTR-9406-,No,,Item No.4 ,,,Alt.7 ,,Car 7 Drg.No 9405 Drg.No 11 Item .3 No.3 .7 ,,Pull Rod Main For B 
DRG.NO.CONTR-9404-,No,,,,,ALT-10 ,,RDSO 10 S-10 2 ,,EQUALISING LEVER B CAR FOR BLC WAGON TO 
Drg No CONTR 9404- ,No,,,,,Alt 11 ,,RDSO 15 Item 3 ,,Side bearer coil spring BLC wagons 
,No,,,,,,,size 110 x 40 x 3 engraving 0001 LG-0001 3000 size 10 ,,Bogie number indication Plate zinc coated x thick Letter size height 
,No,,,,,,,No 727857000 ,,Front support Coupler body CBC Part Faiveley 
,No,,,,,,,No 727822000 ,,Frame CPL supporting Device CBC Part Faiveley 
,No,,,,,,,No 727812000 ,,Beam CPL Supporting device CBC Part Faiveley 
,No,,,,,,,DENVER 30 DENVER 30 LB30 1 code 104555 Model 30 LB30 01 Quantity:01 2 code 11381974 Model 30 LB30 01 Quantity:01 3 code 104555 Model 30 LB30 01 Quantity:01 4 Oil 20 code 1119981 Model 30 LB30 01 ,,Set Spares Air Compressor Make GARDNER Set Spares Air Compressor Make GARDNER DENVER LB30 item Air filter element air compressor OEM product Make GARDNER DENVER LB30 item filter Cartridge air compressor OEM product code Make GARDNER DENVER Model LB30 Quantity:01 item Air filter element air compressor OEM product code QX104555 Make GARDNER DENVER Model LB30 Quantity:01 item Oil litres air compressor OEM product code Make GARDNER DENVER Model LB30 Quantity:01 CAN 
DRG NO ICF/SK-6-3-481 ,No,,,,,,,QUALITY 304 QUALITY 304 COL-I 1 ITEMS-1 6 6 7 NO 39676782 ,,STAINLESS STEEL COMMERCIAL MUG WITH CHAIN AND RINGS TO STAINLESS STEEL COMMERCIAL QUALITY SS304 MUG WITH CHAIN AND RINGS TO ICF TO PL 
drg.No LB 58132 ,No,,,,,Alt -Nil ,,,,Bottom Nylon guide sliding door SLR Coaches RCF 
,No,,,,,,,set 22 ,,POH kit Equalising discharge WSF make items per detailed part list given annexure mailed mail id 
,No,,,,,,,Set 08 make 1 shaft 70294 shaft 1 A70294/1- 01 No 2 No 87824 No 31 A87824/31 01 No 3 Part 701181 Part 1 No.J701181/1 01 No 4 A 70205 A 117 70205/117- 01 No 5 No.IA 70319 70319- 01 No 6 No 88617 No 1 A88617/1 01 No 7 No 88615 No 1 A88615/1 01 No 8 No 88616 No 1 A88616/1 01 ,,POH kit EP brake valve Air portion hard ware WSF Washer splinded Spring friction device No No Cam Roller Part -01 No Exhaust Choke Part No 01 No Oil retaining bush valve body lower Part 01 No Insulating strip Part No 01 No Insulating base Part No -01 No Double contact Part No 01 No 
,No,,,,,,,,,SET OF ELECTRONIC AND ELECTRO PNEUMATIC EQUIPMENT FOR EP BRAKE SYSTEM OF DEMU AND EMU COACHES AS PER THE DETAILED PART LIST AND SPECIFICATIONS MENTIONED OVERLEAF REQUIRED ONLY 
Drg No DMU/DPC/-0-3-009 ,No,,,,,alt ,,DEMU 700 ICF 1 ,,Bogie frame arrangement HP Coaches 
,No,,,,,,,consisting 2 items 1 channel 2 thickness 6 length 2 ,,G type door gear complete set Aluminium top amount feet 2 Sliding door fitting Ball bearing type 
DRG .NO WLRRM-0-5-006 ,No,,,,,,,ICF 1 ICF 1 ,,LOWER SPRING BEAM ARRANGEMENT AC COACHES TO LOWER SPRING BEAM ARRANGEMENT FOR SELF-GENERATION AC COACHES TO ICF COL-1 E FROM APPROVED SOURCES ONLY ICF Approved sources considered 
,No,,,,,,,consisting 20 ,,Maintenance Kit WSF Make EP Brake controller items per attachement attachement mailed firm PAC item since IREPS program accepting uploading documents 
,No,,,,,,,Anabond 540 ,,structural adhesive 
,No,,,,,,,consists 29 ,,POH Kit isolating valve reducing valve WSF make Brake Valve Set Hardware Items per detailed list attached sent mail mail ID 
,No,,,,,,,No 007027 ,,Horn suitable Elgi make Part equivalent 
,No,,,,,,,IS 2760 2760 1980 1980 20 IS 2760 IS 1980 2760:1980 12.5 GRADE 80 IS 6216 6216 2003 RING 56 X 250 RING 125 IS 3822 IS 2002 EFFECTIVE -2.5 WORKING 20 LOAD 40 ,,FOUR LEGGED CHAIN SLING TON CAP DETAILED DESCRIPTION FOUR LEGGED LIFTING CHAIN SLING IS DIA ALLOY STEEL SHORT LINK CHAIN BUTT WELDED IS TOP BULL DIA ID INTERMEDIATE BULL RING ID BOTTOM END FORGED EYE HOOK IS GR T SAFE TON PROOF TON PROOF LOAD TEST CERTIFICATE TO B E ENCLOSED FROM GOVT APPROVED AT GUEST HOUSE MAKE NATIONAL LINKS CHAIN 
,No,,,,,,,"PRO 202 PRO 203 Up 26 Up 25 ppm 4 Up 1200 x 1200 Up 4800 x 600 Normal 750 MHZ 128 RAM 2 Cycle 15 Cycle 000 Up 250 250 2 250 000 2,000 2 pages2 1 USB 2.0 2.0 1 Ethernet 10 Ethernet 100 ",,LaserJet printer equivalent Model HP LaserJet Printer series Similar Model Print speed ISO Up 1200 dpl Black Best Up x dpl Black MB LCD Text Duty per month RMPV Up Make HP CANON SAMSUNG 
,No,,,,,,,Set 08 make 1 shaft 70294 shaft 1 A70294/1- 01 No 2 No 87824 No 31 A87824/31 01 No 3 Part 701181 Part 1 No.J701181/1 01 No 4 A 70205 A 117 70205/117- 01 No 5 No.IA 70319 70319- 01 No 6 No 88617 No 1 A88617/1 01 No 7 No 88615 No 1 A88615/1 01 No 8 No 88616 No 1 A88616/1 01 ,,POH kit EP brake valve Air portion hard ware WSF Washer splinded Spring friction device No No Cam Roller Part -01 No Exhaust Choke Part No 01 No Oil retaining bush valve body lower Part 01 No Insulating strip Part No 01 No Insulating base Part No -01 No Double contact Part No 01 No 
Drg No PD/TPYS/SCR Drg No C W-99 ,No,,,,,Alt Nil ,,,,Back rest cum berth holding bracket smooth finish chromium plated CN coaches SCR 
,No,,,,,,,No 07026 ,,Horn suitable Elgi make Part equivalent 
Drg.No CONTR 9404-,No,,Item No.3 ,,,Alt-8 ,,RDSO 5 ,,Center pivot liner BLC Wagon 
,No,,,,,,,aChuck 12 Szie 10 Machine 3 Mode3l 50 ,,Supply Fitment Thread Chaser inches dia Lock Plate inches dia complete Thread Chaser set suitable Threading Continental Machine Tools Machine Tools Details given attachment 
,No,,,,,,,model 031 ,,Taps Press matic pillar cock make JAQUAR Similar Make JAQUAR VIJAY HINDWARE 
DRG SCR/LGD/M P/DRG No.0155 ,No,,,,,,,,,Front Half Open Cage Pallet shown As per enclosed specification 
Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,,Supply conductor Berth ICF procured RDSO Approved sources per vendor Note Offers RDSO Approved sources considered 
Drg No CONTR 9406-,No,,Item No.2 ,,,Alt 7 ,,Car 7 CONTR 9405 CONTR 11 Item .2 No.2 7 ,,Tie Rod B latest Ref Drg No latest 
DRG NO.DMU/DPC-O-3-009 ,No,,,,,,,DEMU 700 DEMU 700 ,,BOGIE FRAME ARRANGEMENT FOR COACHES TO BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I approved sources considered 
,No,,,,,,,set 22 ,,POH kit Equalising discharge WSF make items per detailed part list given annexure mailed mail id 
Drg.No WD-91071-,No,,,,,Alt nil latest Item.01 ,,RDSO 66 ,,Door flap BOBRN wagon 
DRG NO T-0-4-613.,No,,,,,,,II.AIT-q 10 ,,BRACKET FOR ANCHOR LINK TO ICF 
Drg No ICF/MRVC/D-0-3-001 ,No,,,,,alt-1 ,,Coaches 180 Coaches 150 ICF 1 ,,Bogie frame arrangement EMU Trailer KN Air spring 
DRG NO.DMU/DPC-O-3-009 ,No,,,,,,,DEMU 700 DEMU 700 ,,BOGIE FRAME ARRANGEMENT FOR COACHES TO BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I approved sources considered 
,No,,,,,,,steel 4 capacity 20 Ton 0 leg 12 x 2.5 ring 250 top 5 chain 6215 ,,Alloy Legged Chain sling degree dia mtr length master Ton Capacity eye hook bottom Test Certificate Govt Approved agency Specification chain ISI marked 
,No,,,,,,,Hoist 7.5 No 4 M 1 Hoist 1 operation 2 drum 3 coupling 4 sensor 5 guide 6 switch 7 motor 8 Unit 1 SWL 7.5 Ton 2 Lift 10.5 10.5Mtr 3 length 695 695mm 4 II 5 falls 2 2falls 6 dia 18 18mm 7 speed 8.2 8.2mtr/min 8 KW 15 KW 9 speed 17 17mtr/min 10 motor 0.55 0.55KW 02 02 11 room 1860 1860mm 12 width 125 width 210 125-210mm 13 min 250 min 600 250-600mm 14 Hoist 480 480kg 15 trolley 140 following 1 Brake 2 trolley 3 commissioning 4 switch 5 contactor 6 P.B 7 cable 20 ,,Supply Installation Electrical Gantry Tons Capacity INDEF Make Model Similar Features Hoist Planetary gear box smooth low noise Compact gear box inside Gear Overload Rugged ring type rope Optional rotary limit Electronic magnetic brake Seamless tube drums Description 1 7.5 2 3 Drum 4 Class 5 6 Wire rope 7 Hoisting 8 Hoisting motor KW Travelling speed Travelling motor Head Flange ISMB Approx Weight Hoist 15 Approx weight Scope supply include 1 Trolley 2 Bogie trolley 3 Geared Rotary limit switch including erection commissioning 4 CT limit switch 5 master 6 7 Festooning ADC required standard M P conditions applicable M P Condition attached 
,No,,,,,,,"PRO 202 PRO 203 Up 26 Up 25 ppm 4 Up 1200 x 1200 Up 4800 x 600 Normal 750 MHZ 128 RAM 2 Cycle 15 Cycle 000 Up 250 250 2 250 000 2,000 2 pages2 1 USB 2.0 2.0 1 Ethernet 10 Ethernet 100 ",,LaserJet printer equivalent Model HP LaserJet Printer series Similar Model Print speed ISO Up 1200 dpl Black Best Up x dpl Black MB LCD Text Duty per month RMPV Up Make HP CANON SAMSUNG 
,No,,,,,,,consists 29 ,,POH Kit isolating valve reducing valve WSF make Brake Valve Set Hardware Items per detailed list attached 
,No,,,,,,,steel 4 capacity 20 Ton 0 leg 12 x 2.5 ring 250 top 5 chain 6215 ,,Alloy Legged Chain sling degree dia mtr length master Ton Capacity eye hook bottom Test Certificate Govt Approved agency Specification chain ISI marked 
,No,,,,,,,No 3872271 ,,Rubber ring Cummins Part equivalent FP diesel diesel 
,No,,,,,,,consisting 3 items 1 screw 16 x 75 75 2 75 70 IS 1367 1367 14 IS 1364 Part 2 -2 2002 -2002 2 Nut 16 M16 2 M16 7 IS 1367 1367 14 IS 7002 IS 2005 7002-2005 3 washer 16 IS 3063 IS 1994 Coating 057 ,,head complete mounting system outer head stock conventional SG Coaches SS.Hex head screw IS M16 IS 1367 Part-14 IS 3 Spring IS 
DRG NO ICF/MRVC/D-0-3-001 ,No,,,,,ALT-A ,,COACHES 180 COACHES 150 ICF 1 ,,BOGIE FRAME ARRANGEMENT FOR EMU TRAILER KN AIR SPRING TO 
DRG NO.DMU/DPC5-0-3-501 ,No,,,,,ALT-W/5 ,,DEMU 1400 ,,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SUSPENSION BOGIE FOR AERO DYNAMIC COACHES TO 
,No,,,,,,,Size 43 X 455 ,,Sticker Indicating Hindi Letters vertically Emergency Window Material Letters Night Glow Red Colour As per Sample Arrow indication directed consignee 
,No,,,,,,,"PRO 202 PRO 203 Up 26 Up 25 ppm 4 Up 1200 x 1200 Up 4800 x 600 Normal 750 MHZ 128 RAM 2 Cycle 15 Cycle 000 Up 250 250 2 250 000 2,000 2 pages2 1 USB 2.0 2.0 1 Ethernet 10 Ethernet 100 ",,LaserJet printer equivalent Model HP LaserJet Printer series Similar Model Print speed ISO Up 1200 dpl Black Best Up x dpl Black MB LCD Text Duty per month RMPV Up Make HP CANON SAMSUNG 
DRG NO DMU/DPC-0-3-009 ,No,,,,,ALT-F ,,DEMU 700 ,,BOGIE FRAME ARRANGEMENT FOR COACHES TO 
,No,,,,,,rev 2007 ,size 20 method 500 quantity 400 M 8 M 109 ,,Black magnetic particle micron magnetic particle testing MPT non florescent ml aerosol net RDSO spcn No Latest Brand PMC equivalent 
,No,,,,,,,mop 50 roots 2 No 559260002 No 558260048 Specifications 1 mopping 2 mop 3 anywhere 1 1 1.8 to1.8meters 4 sweeping 5 mop 180 degrees 6 PLUS 50 requirement 1.0 1.0 1.8 ,,Wet Dry Manual adjustable telescopic pole handle aluminum powder coated blended synthetic cotton yean set make clean past similar Additional spares refill part No MOPS ideal dry wet It Should contain electrostatic properties cling fine dust mop Telescopic handle enable height adjustment 1 MOP made blend natural synthetic fibers ensures dust free sweeping Swivel base allow user rotate mop EZC CLEAN WET AND DRY MOP WET DRY MOP POLE adjustment feature minimum meters 
,No,,,,,,,,,Supply installation mobile Compactors Set Per specification enclosed MAKE Godrej similar Nilkamal Featherlite 
,No,,,,,,,Flexible 7 Flexible 8 SAE 100 100 5 length 30 ,,Hose ID Specification Minimum meters 
,No,,,,,,,BHG 1 range 900 900mm 1150 accuracy -1.0 IS 3748 IS 90 hardness 50 hardness 55 ,,Buffer height gauge Equivalent model Ganapathy industries Chennai CBC suitable measuring height CBC fitted BG wagons measured top surface rail Measuring measuring supply calibration certificate NABL approved lab packed wooden carrying box Material tool steel HRC 
,No,,,,,,,Table 104 Specifications 1 W 1665 D 900 H 750 750mm 2 One 03 unit 3 frame 4 top 5 surface 6 ,,Office table Similar Godrej make modal MAKE Godrej Nikamal featherlite Dimensions Width b Depth Height contain two sets storage one Box one file drawer unit Shall tubular Shall inter locked welded joints modesty panel PVC edge bonded laminated Steel parts shall undergo electro static painting alkali amino enamel scratch free ADC required 
,No,,,,,,,type 3651 Part 02 02 1985 LC 0.02 range 1590 1590mm 1610 accuracy -0.10 IS 3748 IS 90 Hardness 50 Hardness 55 ,,Wheel distance measuring gauge fitted Vernier scale analog With ISI Marked spirit level Measuring measuring carriage wagon packed carrying wooden box supply calibration certificate NABL approved lab Material tool steel 
,No,,,,,,,Flexible 7 Flexible 8 SAE 100 100 5 length 30 ,,Hose ID Specification Minimum meters 
,No,,,,,,,voltage 415 415 440 No 50 No 21 ,,Solenoid Coil Brake Coil Coil Make BCH Model Similar 
Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,,Supply conductor Berth ICF procured RDSO Approved sources per vendor Note Offers RDSO Approved sources considered 
,No,,,,,,,voltage 415 415 440 No 50 No 21 ,,Solenoid Coil Brake Coil Coil Make BCH Model Similar 
DRG NO.DMU/DPC 5-0-3-501 ,No,,,,,ALT-W/5 ,,DEMU 1400 ,,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SUSPENSION BOGIE FOR AERO DYNAMIC COACHES TO 
,No,,,,,,,Regency 7004 Specifications 1 W 525 D 610 H 805 SH 460 SH 585 460-585mm 2 d. 100 coating 3 ,,Visitor Cantilevered Chair without arms similar Godrej make model MAKE Godrej Nilkamal Featherlite Dimensions Width b Depth Height Seat Height Chair provided Center Tilt mechanism b Tilt c. Swivel d. percent VOC free powder ADC required 
,No,,,,,,,enclosed 06 along 02 02nos 06 ,,DOOR Personal Storage locker Base unit units MAKE Godrej similar Nilkamal Featherlite Specifications 
,No,,,,,,,Modal .1500 Specifications 1 W 1500 D 750 H 728 728mm 2 contain 03 facility 3 ,,Office Table Similar Godrej Make CPU Nilkamal Featherlite Dimensions Width b Depth Height Table Should Provided Wooden modesty panel b Slots top frame passage c. A CPU hanger Should drawer unit lock ADC required 
,No,,,,,,,,,SR Solution Make Fevicol Jivanjor Wood touch 
,No,,,,,,,clamp 600 opening 60 ,,Earth made zinc coated steel copper plated jaws suitable copper mesh jaw MAKE ESAB similar 
,No,,,,,,,method 500 No 5044 BS-5044 1973 ,Qty 400,White contrast paint detect surface crack detect magnetic particle testing metal spray system net ml RDSO Spc latest 
DRG NO.WTAC-0-3-402 ,No,,,,,ALT-1 ,,l 3 ,,BOGIE FRAME ARRANGEMENT FOR SELF GENERATION AC COACHES WITH LONGITUDINAL FOR BMBS TO SMALL 
,No,,,,,,,NO 1 1.Part 492889 Nos 2 2.Part 50007 Qty 02 Nos 3 3.Part 2024 Qty 01 Nos 4 Part 498260 Qty 01 Nos 5 Part 496863 Qty 01 Nos 6 Part 2025 Qty 02 ,Qty 02 ,Set Spares ASKA make Tower Lights Each Set Consisting following items SL Description Element filter Description item Air Blower Nos Description item Fuel Pipeline Qty Nos Description item Kit Carburetor Qty 01 Nos Part Description item Carburetor Qty 01 Nos Part Description item Vibration Pad Engine Qty 02 Nos 
,No,,,,,,,size 59 X 168 VS 59 X 168 cap 70 ,,Alloy Steel UJ Cross cup Needle Bearings dia length X 168 suitable cardon shaft Traverser Unique Handlers OEM Authorized Dealers quote valid certificate 
DRG NO CC 91170 ,No,,,,,ALT-F ,,,,BATTERY BOX COMPLETE FOR MAINTENANCE FREE BATTERIES VRLA BATTERIES NPP SIDE FOR SG AC COACHES TO RCF 
,No,,,,,,,NO 54 No 21 ,,SHORT BODY BIB COCK AS PER JAQUAR MODEL HINDWARE Goldline Model FOAM TYPE 
DRG NO CC 91170 ,No,,,,,ALT-F ,,,,BATTERY BOX COMPLETE FOR MAINTENANCE FREE BATTERIES VRLA BATTERIES NPP SIDE FOR SG AC COACHES TO RCF 
,No,,,,,,,No 1903672103 ,,Taper Lock Bush Chicago Pneumatic Air Compressor OEM Part 
,No,,,,,,,IS 4576 IS 1999 Reaffirmed 2009 2009 19 May 17 March 18 approx 20 ,,Liquefied petroleum gas LPG metal cutting per kgs capacity returnable supply effected cylinders 
,No,,,,,,,Regency 7001 Specifications 1 W 750 D 750 H 1060 H 1175 SH 460 SH 585 460-585mm 2 castors 3 3 100 coating 4 ,,Executive Executive Revolving Chair High Back Similar Godrej make model MAKE Godrej Nilkamal Featherlite Dimensions Width b Depth 750mm Height Seat Height The Table shall provided Center Tilt mechanism b Tilt c. Moulded d. Pneumatic height Swivel Twin wheel percent VOC free powder ADC required 
,No,,,,,,,required 4 SPECIFICATIONS 1 W 914 D 320 H 1742 1742mm 2 treatment 3 bookcase 4 provided 10 lock 5 Russet 6 ,,DOOR BOOKCASE NEW WITHOUT TOP SIMILER TO GODREJ MAKE OR NIKAMAL OR FEATHERLITE Dimensions approx Width b Depth c Height Should made CRCA steel anti rust Should equalizing mechanism easy opening closing 4 Should lever cam Prince Grey two tone colour Beige ADC 
,No,,,,,,,compressor 53 IS 5456 receiver 1000 ,,Supply installation commissioning air CFM capacity per along air liters capacity Technical specification attached 
,No,,,,,,,consisting 2 items 1 channel 2 thickness 6 length 2 ,,G type door gear complete set Aluminium top amount feet 2 Sliding door fitting Ball bearing type 
,No,,,,,,,No 280 280 2 Core 3 i3 6 Gen 2 RAM 4 4GB 3 Disk 500 GB 4 4.Monitor 18.5 LED 5 RW 6 6.Network 10 6.Network 100 6.Network 1000 Ethernet 7 Windows 10 Pro 8 Mouse 9 9.Warranty 3 ,,Desktop computer preloaded operating system equivalent model MT HP following Specifications Processor Intel Hard 3 Year site Make HP DELL LENOVO 
,No,,,,,,,type 315 For 250 collector 1 Model 250 Similar 2 similar 3 arm 4 rating 250 250Amps 5 length 02 cables 1.5 Mtr 6 /- 200 /- 60 60mm 7 Bracket 25 bar 8 surface 127 /- 5 5mm 9 steel 10 shoe 250 250A 11 ABC 12 ,,Supply current collectors suitable shrouded DSL Aluminium Bus Bar RYBG system per Specification Amps Current Make NBM Insdustries Material Aluminium Dual Current collector Cable Collector movement /- Mounting squar Mounting distance conductor contact /- Spring loaded contacts springs non rusting Stainless Sintered copper Shoe Holder Structure Metalic 
,No,,,,,,,CPC 60 No 193 ,,CONTACTOR Chicago Pneumatic Make Air Compressor Model OEM Part No 
,No,,,,,,,No 1901000051 ,,Main Bearing Chicago Pneumatic Air Compressor OEM Part 
Drg.No CONTR 9404-,No,,Item No.3 ,,,Alt-8 ,,RDSO 5 ,,Center pivot liner BLC Wagon 
DRG.NO -WLRRM-0-4-003 ,No,,,,,ALT-F/4 ,,,,BOGIE BOLSTER ARRANGEMENT FOR AC COACHES TO FROM APPROVED SOURCES OF ICF 
,No,,,,,,,consisting 20 ,,Maintenance Kit WSF Make EP Brake controller items per attachement attachement mailed firm PAC item since IREPS program accepting uploading documents 
Drg No ICF/MRVC/D-0-3-001 ,No,,,,,alt-1 ,,Coaches 180 Coaches 150 ICF 1 ,,Bogie frame arrangement EMU Trailer KN Air spring 
,No,,,,,,,IS 4576 IS 1999 Reaffirmed 2009 2009 19 May 17 March 18 approx 20 ,,Liquefied petroleum gas LPG metal cutting per kgs capacity returnable supply effected cylinders 
